X,Y,Z,Angle,Distance,Retro,UTC
741023.8715992,3740618.16229248,261.63519287,-0.14835,6.29,0.221,56017.832031
741023.87070084,3740618.10772705,261.64068604,-0.15708,6.29,0.215,56017.832031
741023.87030029,3740618.05310059,261.64639282,-0.16581,6.29,0.215,56017.832031
741023.8519001,3740617.99749756,261.64440918,-0.17453,6.31,0.215,56017.832031
741023.87520027,3740618.75909424,261.60800171,-0.05236,6.24,0.221,56017.84375
741023.8696003,3740618.70501709,261.61138916,-0.06109,6.24,0.215,56017.84375
741023.86429977,3740618.65087891,261.61499023,-0.06981,6.24,0.221,56017.84375
741023.85950089,3740618.59667969,261.61871338,-0.07854,6.24,0.221,56017.84375
741023.83690071,3740618.54321289,261.61459351,-0.08727,6.26,0.215,56017.84375
741023.82379913,3740618.48907471,261.61468506,-0.09599,6.27,0.215,56017.84375
741023.82029915,3740618.43457031,261.61898804,-0.10472,6.27,0.215,56017.847656
741023.82629967,3740618.38012695,261.62759399,-0.11345,6.26,0.221,56017.847656
741023.80540085,3740618.32568359,261.6242981,-0.12217,6.28,0.221,56017.847656
741023.81229973,3740618.2711792,261.63320923,-0.1309,6.27,0.215,56017.847656
741023.80139923,3740618.21661377,261.63439941,-0.13963,6.28,0.221,56017.847656
741023.79089928,3740618.16168213,261.63571167,-0.14835,6.29,0.215,56017.847656
741023.79000092,3740618.1071167,261.64120483,-0.15708,6.29,0.215,56017.847656
741023.78960037,3740618.05249023,261.64691162,-0.16581,6.29,0.215,56017.847656
741023.77120018,3740617.99688721,261.64489746,-0.17453,6.31,0.215,56017.847656
741023.86540031,3740619.07867432,261.60479736,0.0,6.21,0.497,56017.859375
741023.84810066,3740619.02618408,261.60290527,-0.00873,6.22,0.453,56017.859375
741023.84939957,3740618.97137451,261.60940552,-0.01745,6.21,0.227,56017.859375
741023.84199905,3740618.91772461,261.61190796,-0.02618,6.21,0.221,56017.859375
741023.82600021,3740618.8649292,261.6105957,-0.03491,6.22,0.221,56017.859375
741023.82859993,3740618.81018066,261.6177063,-0.04363,6.21,0.221,56017.859375
741023.80430031,3740618.7578125,261.61270142,-0.05236,6.23,0.221,56017.859375
741023.79859924,3740618.70379639,261.61608887,-0.06109,6.23,0.221,56017.859375
741023.78420067,3740618.65020752,261.61560059,-0.06981,6.24,0.221,56017.859375
741023.77029991,3740618.59649658,261.61529541,-0.07854,6.25,0.221,56017.859375
741023.76589966,3740618.54217529,261.61920166,-0.08727,6.25,0.215,56017.859375
741023.75279999,3740618.48822021,261.61929321,-0.09599,6.26,0.215,56017.859375
741023.74020004,3740618.434021,261.61959839,-0.10472,6.27,0.215,56017.859375
741023.7371006,3740618.3795166,261.62420654,-0.11345,6.27,0.215,56017.859375
741023.73450089,3740618.32501221,261.62890625,-0.12217,6.27,0.215,56017.859375
741023.7322998,3740618.27062988,261.63378906,-0.1309,6.27,0.215,56017.859375
741023.72130013,3740618.21588135,261.63500977,-0.13963,6.28,0.221,56017.859375
741023.71080017,3740618.16107178,261.6362915,-0.14835,6.29,0.215,56017.859375
