X,Y,Z,Angle,Distance,Retro,UTC
741024.45960045,3740612.67102051,261.64480591,-0.77667,9.34,0.204,56017.53125
741024.42819977,3740612.54541016,261.64440918,-0.7854,9.44,0.21,56017.53125
741024.45439911,3740612.92462158,261.65240479,-0.75922,9.13,0.204,56017.542969
741024.42000008,3740612.80108643,261.6505127,-0.76794,9.23,0.204,56017.542969
741024.37960052,3740612.67047119,261.646698,-0.77667,9.34,0.21,56017.542969
741024.34070015,3740612.53881836,261.64370728,-0.7854,9.45,0.204,56017.542969
741024.46260071,3740613.18017578,261.66549683,-0.74176,8.91,0.204,56017.558594
741024.41769981,3740613.05291748,261.65939331,-0.75049,9.02,0.204,56017.558594
741024.37420082,3740612.92449951,261.6539917,-0.75922,9.13,0.204,56017.558594
741024.33230019,3740612.79492188,261.64950562,-0.76794,9.24,0.204,56017.558594
741024.29190063,3740612.66430664,261.64569092,-0.77667,9.35,0.21,56017.558594
741024.26049995,3740612.53869629,261.64538574,-0.7854,9.45,0.204,56017.558594
741024.45319939,3740613.41369629,261.67349243,-0.72431,8.72,0.21,56017.570313
741024.40539932,3740613.28851318,261.66589355,-0.73304,8.83,0.21,56017.570313
741024.37450027,3740613.17382813,261.66461182,-0.74176,8.92,0.204,56017.570313
741024.32959938,3740613.04638672,261.65859985,-0.75049,9.03,0.204,56017.570313
741024.29380035,3740612.92382813,261.65600586,-0.75922,9.13,0.204,56017.570313
741024.24430084,3740612.78833008,261.64871216,-0.76794,9.25,0.204,56017.570313
741024.21899986,3740612.66967773,261.65029907,-0.77667,9.34,0.21,56017.570313
741024.17259979,3740612.53192139,261.64471436,-0.7854,9.46,0.21,56017.570313
741024.45730019,3740613.64910889,261.6867981,-0.70686,8.52,0.199,56017.585938
741024.41449928,3740613.53179932,261.68060303,-0.71558,8.62,0.204,56017.585938
741024.38089943,3740613.41900635,261.67788696,-0.72431,8.71,0.204,56017.585938
741024.33309937,3740613.29388428,261.67028809,-0.73304,8.82,0.204,56017.585938
741024.30209923,3740613.17932129,261.66900635,-0.74176,8.91,0.21,56017.585938
