X,Y,Z,Angle,Distance,Retro,UTC
741026.44350052,3740612.50909424,261.59790039,-0.7854,9.52,0.204,56017.183594
741026.43479919,3740612.76580811,261.60189819,-0.76794,9.31,0.204,56017.199219
741026.4022007,3740612.64080811,261.60128784,-0.77667,9.41,0.204,56017.199219
741026.35619926,3740612.50250244,261.59619141,-0.7854,9.53,0.21,56017.199219
741026.44039917,3740613.02392578,261.61169434,-0.75049,9.09,0.21,56017.210938
741026.39730072,3740612.89501953,261.60681152,-0.75922,9.2,0.204,56017.210938
741026.36330032,3740612.77087402,261.60540771,-0.76794,9.3,0.204,56017.210938
741026.33069992,3740612.64587402,261.60470581,-0.77667,9.4,0.21,56017.210938
741026.2772007,3740612.50152588,261.59689331,-0.7854,9.53,0.21,56017.210938
741026.44420052,3740613.27197266,261.62200928,-0.73304,8.88,0.204,56017.222656
741026.40579987,3740613.15112305,261.61828613,-0.74176,8.98,0.21,56017.222656
741026.36879921,3740613.02911377,261.61538696,-0.75049,9.08,0.204,56017.222656
741026.33320045,3740612.90618896,261.61309814,-0.75922,9.18,0.21,56017.222656
741026.2840004,3740612.77032471,261.60629272,-0.76794,9.3,0.204,56017.222656
741026.2439003,3740612.63922119,261.60299683,-0.77667,9.41,0.21,56017.222656
741026.21279907,3740612.51318359,261.60299683,-0.7854,9.51,0.21,56017.222656
741026.46080017,3740613.52130127,261.63809204,-0.71558,8.66,0.204,56017.238281
741026.41180038,3740613.39691162,261.63009644,-0.72431,8.77,0.204,56017.238281
741026.37969971,3740613.28289795,261.62838745,-0.73304,8.86,0.204,56017.238281
741026.33349991,3740613.15631104,261.62188721,-0.74176,8.97,0.21,56017.238281
741026.28890038,3740613.02850342,261.61621094,-0.75049,9.08,0.21,56017.238281
741026.25329971,3740612.90557861,261.61401367,-0.75922,9.18,0.204,56017.238281
741026.21920013,3740612.78167725,261.61248779,-0.76794,9.28,0.204,56017.238281
741026.17149925,3740612.64471436,261.60641479,-0.77667,9.4,0.21,56017.238281
741026.14030075,3740612.51879883,261.60641479,-0.7854,9.5,0.21,56017.238281
741026.46010017,3740613.74932861,261.64871216,-0.69813,8.47,0.21,56017.25
741026.42410088,3740613.63818359,261.64498901,-0.70686,8.56,0.199,56017.25
741026.38929939,3740613.52618408,261.64190674,-0.71558,8.65,0.204,56017.25
741026.34029961,3740613.4019165,261.63391113,-0.72431,8.76,0.21,56017.25
741026.31579971,3740613.2935791,261.63500977,-0.73304,8.84,0.21,56017.25
741026.26959991,3740613.16717529,261.62838745,-0.74176,8.95,0.204,56017.25
741026.22489929,3740613.03961182,261.62258911,-0.75049,9.06,0.204,56017.25
741026.18160057,3740612.91082764,261.61761475,-0.75922,9.17,0.204,56017.25
741026.1473999,3740612.7869873,261.61608887,-0.76794,9.27,0.204,56017.25
741026.11470032,3740612.66217041,261.61529541,-0.77667,9.37,0.204,56017.25
741026.06850052,3740612.52416992,261.60998535,-0.7854,9.49,0.21,56017.25
741026.45669937,3740613.96777344,261.65921021,-0.68068,8.29,0.204,56017.265625
741026.41819954,3740613.85858154,261.65420532,-0.68941,8.38,0.204,56017.265625
741026.38089943,3740613.74847412,261.64981079,-0.69813,8.47,0.204,56017.265625
741026.35269928,3740613.6428833,261.64889526,-0.70686,8.55,0.21,56017.265625
741026.3178997,3740613.53100586,261.64581299,-0.71558,8.64,0.204,56017.265625
741026.26880074,3740613.40679932,261.63769531,-0.72431,8.75,0.204,56017.265625
741026.23660088,3740613.29278564,261.63598633,-0.73304,8.84,0.204,56017.265625
741026.19809914,3740613.17218018,261.63220215,-0.74176,8.94,0.21,56017.265625
741026.15329933,3740613.04467773,261.62640381,-0.75049,9.05,0.21,56017.265625
741026.11000061,3740612.91601563,261.62130737,-0.75922,9.16,0.21,56017.265625
741026.08329964,3740612.79827881,261.62240601,-0.76794,9.25,0.204,56017.265625
741026.02799988,3740612.65527344,261.61358643,-0.77667,9.38,0.21,56017.265625
741025.98940086,3740612.52337646,261.61099243,-0.7854,9.49,0.21,56017.265625
741026.44300079,3740614.2532959,261.65789795,-0.6545,8.09,0.204,56017.277344
741026.40909958,3740614.15179443,261.65411377,-0.66323,8.17,0.204,56017.277344
741026.38439941,3740614.05462646,261.65390015,-0.67195,8.24,0.204,56017.277344
741026.36070061,3740613.95678711,261.65420532,-0.68068,8.31,0.204,56017.277344
741026.33810043,3740613.85821533,261.65499878,-0.68941,8.38,0.204,56017.277344
741026.30080032,3740613.74810791,261.65060425,-0.69813,8.47,0.204,56017.277344
741026.26469994,3740613.63702393,261.64678955,-0.70686,8.56,0.204,56017.277344
741026.22220039,3740613.51940918,261.64089966,-0.71558,8.66,0.204,56017.277344
741026.18090057,3740613.4006958,261.63571167,-0.72431,8.76,0.21,56017.277344
741026.1487999,3740613.28668213,261.63400269,-0.73304,8.85,0.21,56017.277344
741026.1026001,3740613.16021729,261.62741089,-0.74176,8.96,0.21,56017.277344
741026.06550026,3740613.03839111,261.62438965,-0.75049,9.06,0.21,56017.277344
741026.03739929,3740612.92156982,261.62478638,-0.75922,9.15,0.204,56017.277344
741025.99559975,3740612.79187012,261.62051392,-0.76794,9.26,0.21,56017.277344
741025.94790077,3740612.6550293,261.6144104,-0.77667,9.38,0.204,56017.277344
741025.90920067,3740612.52307129,261.61169434,-0.7854,9.49,0.204,56017.277344
741026.43079948,3740614.52752686,261.65829468,-0.62832,7.9,0.204,56017.289063
741026.41020012,3740614.43811035,261.65899658,-0.63705,7.96,0.204,56017.289063
741026.38229942,3740614.34320068,261.65710449,-0.64577,8.03,0.204,56017.289063
741026.35560036,3740614.24749756,261.65579224,-0.6545,8.1,0.21,56017.289063
741026.32180023,3740614.14587402,261.65200806,-0.66323,8.18,0.204,56017.289063
741026.30509949,3740614.05389404,261.65478516,-0.67195,8.24,0.204,56017.289063
741026.27350044,3740613.95080566,261.65209961,-0.68068,8.32,0.204,56017.289063
741026.24300003,3740613.84680176,261.6499939,-0.68941,8.4,0.204,56017.289063
741026.21360016,3740613.74188232,261.64859009,-0.69813,8.48,0.204,56017.289063
741026.1697998,3740613.62518311,261.64199829,-0.70686,8.58,0.204,56017.289063
741026.13509941,3740613.51312256,261.6388855,-0.71558,8.67,0.204,56017.289063
741026.10169983,3740613.40002441,261.63659668,-0.72431,8.76,0.21,56017.289063
741026.0618,3740613.2802124,261.63198853,-0.73304,8.86,0.204,56017.289063
741026.02339935,3740613.15948486,261.6282959,-0.74176,8.96,0.204,56017.289063
741025.97870064,3740613.03179932,261.62249756,-0.75049,9.07,0.21,56017.289063
741025.94309998,3740612.90887451,261.62020874,-0.75922,9.17,0.204,56017.292969
741025.90139961,3740612.77911377,261.61590576,-0.76794,9.28,0.204,56017.292969
741025.86120033,3740612.64807129,261.61248779,-0.77667,9.39,0.204,56017.292969
741025.82259941,3740612.51611328,261.6098938,-0.7854,9.5,0.21,56017.292969
741026.4435997,3740614.80499268,261.66958618,-0.60214,7.69,0.21,56017.304688
