X,Y,Z,Angle,Distance,Retro,UTC
741005.44780016,3740612.60839844,261.71191406,-0.7854,9.13,0.199,56020.640625
741005.45039988,3740612.96337891,261.71789551,-0.75922,8.85,0.204,56020.652344
741005.41470003,3740612.84179688,261.71240234,-0.76794,8.95,0.199,56020.652344
741005.40280008,3740612.73742676,261.71630859,-0.77667,9.02,0.199,56020.652344
741005.37729979,3740612.62030029,261.71508789,-0.7854,9.11,0.193,56020.652344
741005.45160007,3740613.38818359,261.7171936,-0.72431,8.54,0.204,56020.664063
741005.43380022,3740613.28729248,261.71810913,-0.73304,8.61,0.204,56020.664063
741005.41709995,3740613.18560791,261.71951294,-0.74176,8.68,0.21,56020.664063
741005.39400005,3740613.07757568,261.71859741,-0.75049,8.76,0.21,56020.664063
741005.36450005,3740612.96289063,261.71539307,-0.75922,8.85,0.21,56020.664063
741005.33640003,3740612.84729004,261.71279907,-0.76794,8.94,0.199,56020.664063
741005.31699991,3740612.73687744,261.71380615,-0.77667,9.02,0.199,56020.664063
741005.29150009,3740612.61981201,261.7124939,-0.7854,9.11,0.199,56020.664063
741005.45559978,3740613.87237549,261.71240234,-0.68068,8.21,0.204,56020.679688
741005.44040012,3740613.77990723,261.7137146,-0.68941,8.27,0.199,56020.679688
741005.42619991,3740613.68688965,261.71551514,-0.69813,8.33,0.204,56020.679688
741005.41300011,3740613.59332275,261.71780396,-0.70686,8.39,0.21,56020.679688
741005.37750006,3740613.48260498,261.71139526,-0.71558,8.48,0.21,56020.679688
741005.36630011,3740613.38781738,261.71481323,-0.72431,8.54,0.204,56020.679688
741005.34089994,3740613.28112793,261.71270752,-0.73304,8.62,0.21,56020.679688
741005.31669998,3740613.17370605,261.71121216,-0.74176,8.7,0.21,56020.679688
741005.30119991,3740613.07128906,261.7131958,-0.75049,8.77,0.204,56020.679688
741005.28690004,3740612.96832275,261.71578979,-0.75922,8.84,0.204,56020.679688
741005.24370003,3740612.84088135,261.70739746,-0.76794,8.95,0.199,56020.679688
741005.22429991,3740612.73052979,261.70840454,-0.77667,9.03,0.199,56020.679688
741005.19880009,3740612.61322021,261.70721436,-0.7854,9.12,0.199,56020.679688
741005.46509981,3740614.4050293,261.70608521,-0.62832,7.87,0.215,56020.691406
741005.45240021,3740614.32080078,261.70779419,-0.63705,7.92,0.21,56020.691406
741005.44059992,3740614.23608398,261.70999146,-0.64577,7.97,0.21,56020.691406
741005.41359997,3740614.14093018,261.70608521,-0.6545,8.04,0.21,56020.691406
741005.39559984,3740614.05010986,261.70599365,-0.66323,8.1,0.204,56020.691406
741005.38640022,3740613.96380615,261.70950317,-0.67195,8.15,0.204,56020.691406
741005.37029982,3740613.87188721,261.71038818,-0.68068,8.21,0.204,56020.691406
741005.35510015,3740613.77941895,261.71170044,-0.68941,8.27,0.199,56020.691406
741005.34089994,3740613.68640137,261.71350098,-0.69813,8.33,0.204,56020.691406
741005.31990004,3740613.58740234,261.71270752,-0.70686,8.4,0.21,56020.691406
741005.29990005,3740613.4876709,261.7124939,-0.71558,8.47,0.204,56020.691406
741005.28100014,3740613.3873291,261.71279907,-0.72431,8.54,0.204,56020.691406
741005.25559998,3740613.28057861,261.71060181,-0.73304,8.62,0.204,56020.691406
741005.23899984,3740613.17889404,261.71209717,-0.74176,8.69,0.204,56020.691406
741005.21589994,3740613.07080078,261.71121216,-0.75049,8.77,0.21,56020.691406
741005.19399977,3740612.96191406,261.71090698,-0.75922,8.85,0.21,56020.691406
741005.15840006,3740612.84039307,261.70541382,-0.76794,8.95,0.199,56020.691406
741005.13899994,3740612.72998047,261.70639038,-0.77667,9.03,0.199,56020.691406
741005.12090015,3740612.61877441,261.70800781,-0.7854,9.11,0.199,56020.691406
741005.46339989,3740614.82281494,261.70568848,-0.58469,7.61,0.221,56020.703125
741005.44649982,3740614.74108887,261.70529175,-0.59341,7.66,0.215,56020.703125
741005.43039989,3740614.65899658,261.70529175,-0.60214,7.71,0.215,56020.703125
741005.41520023,3740614.57629395,261.70581055,-0.61087,7.76,0.215,56020.703125
741005.40080023,3740614.49310303,261.706604,-0.61959,7.81,0.215,56020.703125
741005.37909985,3740614.40460205,261.70458984,-0.62832,7.87,0.215,56020.703125
741005.36639977,3740614.32037354,261.70639038,-0.63705,7.92,0.21,56020.703125
741005.35459995,3740614.23571777,261.70849609,-0.64577,7.97,0.21,56020.703125
741005.3355999,3740614.14550781,261.70788574,-0.6545,8.03,0.21,56020.703125
741005.31750011,3740614.0546875,261.70770264,-0.66323,8.09,0.21,56020.703125
741005.30840015,3740613.96862793,261.71121216,-0.67195,8.14,0.204,56020.703125
741005.28420019,3740613.871521,261.70889282,-0.68068,8.21,0.199,56020.703125
741005.26910019,3740613.7789917,261.71020508,-0.68941,8.27,0.199,56020.703125
741005.25479984,3740613.68597412,261.71200562,-0.69813,8.33,0.204,56020.703125
741005.24160004,3740613.59240723,261.71429443,-0.70686,8.39,0.204,56020.703125
741005.20609999,3740613.48168945,261.70788574,-0.71558,8.48,0.204,56020.707031
741005.19500017,3740613.38690186,261.71130371,-0.72431,8.54,0.199,56020.707031
741005.15420008,3740613.2689209,261.70318604,-0.73304,8.64,0.204,56020.707031
741005.13770008,3740613.16699219,261.70471191,-0.74176,8.71,0.21,56020.707031
741005.12230015,3740613.0645752,261.70678711,-0.75049,8.78,0.21,56020.707031
741005.10039997,3740612.95568848,261.70651245,-0.75922,8.86,0.204,56020.707031
741005.07980013,3740612.8460083,261.70678711,-0.76794,8.94,0.199,56020.707031
741005.0454998,3740612.72357178,261.70199585,-0.77667,9.04,0.199,56020.707031
741005.02010012,3740612.60632324,261.70080566,-0.7854,9.13,0.199,56020.707031
741005.46190023,3740615.14788818,261.71340942,-0.54978,7.4,0.232,56020.71875
741005.45020008,3740615.0725708,261.71481323,-0.55851,7.44,0.414,56020.71875
741005.43079996,3740614.99267578,261.71310425,-0.56723,7.49,0.376,56020.71875
741005.39559984,3740614.90362549,261.70498657,-0.57596,7.56,0.221,56020.71875
741005.37790012,3740614.82250977,261.70419312,-0.58469,7.61,0.221,56020.71875
741005.34450006,3740614.73181152,261.69699097,-0.59341,7.68,0.221,56020.71875
741005.3368001,3740614.6539917,261.70050049,-0.60214,7.72,0.215,56020.71875
741005.32159996,3740614.57128906,261.70089722,-0.61087,7.77,0.215,56020.71875
741005.31540012,3740614.49267578,261.70510864,-0.61959,7.81,0.215,56020.71875
741005.29370022,3740614.4041748,261.70309448,-0.62832,7.87,0.21,56020.71875
741005.28100014,3740614.32000732,261.70480347,-0.63705,7.92,0.21,56020.71875
741005.26109982,3740614.23040771,261.70370483,-0.64577,7.98,0.21,56020.71875
741005.24209976,3740614.14007568,261.70309448,-0.6545,8.04,0.215,56020.71875
741005.22410011,3740614.04931641,261.70300293,-0.66323,8.1,0.204,56020.71875
741005.21500015,3740613.9630127,261.70651245,-0.67195,8.15,0.204,56020.71875
741005.19089985,3740613.86590576,261.70419312,-0.68068,8.22,0.204,56020.71875
741005.18359995,3740613.77862549,261.70858765,-0.68941,8.27,0.199,56020.71875
741005.16940022,3740613.68560791,261.71038818,-0.69813,8.33,0.199,56020.71875
741005.15619993,3740613.59197998,261.71270752,-0.70686,8.39,0.204,56020.71875
741005.12069988,3740613.48138428,261.70629883,-0.71558,8.48,0.204,56020.71875
741005.10179996,3740613.38092041,261.70669556,-0.72431,8.55,0.21,56020.71875
741005.08409977,3740613.27990723,261.70761108,-0.73304,8.62,0.21,56020.71875
741005.07509995,3740613.18389893,261.71200562,-0.74176,8.68,0.21,56020.71875
741005.03679991,3740613.06420898,261.70510864,-0.75049,8.78,0.204,56020.71875
741005.00740004,3740612.94940186,261.7019043,-0.75922,8.87,0.21,56020.71875
741004.98680019,3740612.83972168,261.70230103,-0.76794,8.95,0.199,56020.71875
741004.96000004,3740612.72320557,261.70040894,-0.77667,9.04,0.199,56020.71875
741004.94199991,3740612.61199951,261.70199585,-0.7854,9.12,0.204,56020.71875
741005.45120001,3740615.71728516,261.69519043,-0.47997,7.13,0.227,56020.730469
741005.44269991,3740615.64862061,261.69750977,-0.48869,7.16,0.227,56020.730469
741005.43489981,3740615.57958984,261.70010376,-0.49742,7.19,0.227,56020.730469
741005.41909981,3740615.5065918,261.69949341,-0.50615,7.23,0.227,56020.730469
741005.42110014,3740615.4407959,261.70629883,-0.51487,7.25,0.227,56020.730469
741005.4066,3740615.36712646,261.70629883,-0.5236,7.29,0.232,56020.730469
741005.39279985,3740615.29302979,261.706604,-0.53233,7.33,0.453,56020.730469
741005.39669991,3740615.22650146,261.71429443,-0.54105,7.35,0.448,56020.730469
741005.36740017,3740615.14349365,261.70840454,-0.54978,7.41,0.227,56020.730469
741005.36409998,3740615.07232666,261.71328735,-0.55851,7.44,0.42,56020.730469
741005.3448,3740614.99237061,261.71160889,-0.56723,7.49,0.392,56020.730469
741005.30119991,3740614.89898682,261.70001221,-0.57596,7.57,0.221,56020.730469
741005.29190016,3740614.82220459,261.70269775,-0.58469,7.61,0.221,56020.730469
741005.2750001,3740614.74047852,261.70220947,-0.59341,7.66,0.221,56020.730469
741005.25899982,3740614.6583252,261.70230103,-0.60214,7.71,0.215,56020.730469
741005.24370003,3740614.57562256,261.70269775,-0.61087,7.76,0.215,56020.730469
741005.22109985,3740614.4876709,261.70019531,-0.61959,7.82,0.215,56020.730469
741005.19950008,3740614.39910889,261.69821167,-0.62832,7.88,0.215,56020.730469
741005.19490004,3740614.31970215,261.70318604,-0.63705,7.92,0.21,56020.730469
