X,Y,Z,Angle,Distance,Retro,UTC
741031.4654007,3740612.70678711,261.58578491,-0.77667,9.35,0.204,56016.34375
741031.41909981,3740612.56890869,261.58099365,-0.7854,9.47,0.21,56016.34375
741031.43639946,3740612.84289551,261.59210205,-0.76794,9.23,0.204,56016.359375
741031.39590073,3740612.71228027,261.58898926,-0.77667,9.34,0.204,56016.359375
741031.34210014,3740612.56829834,261.58151245,-0.7854,9.47,0.204,56016.359375
741031.43779945,3740613.09368896,261.59869385,-0.75049,9.02,0.204,56016.371094
741031.39430046,3740612.965271,261.59399414,-0.75922,9.13,0.204,56016.371094
741031.35230064,3740612.83581543,261.59008789,-0.76794,9.24,0.204,56016.371094
741031.31940079,3740612.71118164,261.58959961,-0.77667,9.34,0.204,56016.371094
741031.26549911,3740612.56719971,261.58209229,-0.7854,9.47,0.204,56016.371094
741031.44400024,3740613.34082031,261.60839844,-0.73304,8.81,0.204,56016.382813
741031.41290092,3740613.22619629,261.60760498,-0.74176,8.9,0.204,56016.382813
741031.36020088,3740613.09307861,261.59939575,-0.75049,9.02,0.204,56016.382813
741031.31669998,3740612.96472168,261.5947876,-0.75922,9.13,0.204,56016.382813
741031.27470016,3740612.83508301,261.59091187,-0.76794,9.24,0.204,56016.382813
741031.23430061,3740612.70452881,261.58779907,-0.77667,9.35,0.204,56016.382813
741031.19540024,3740612.57281494,261.58551025,-0.7854,9.46,0.204,56016.382813
741031.45619965,3740613.58361816,261.62091064,-0.71558,8.6,0.204,56016.398438
741031.41469955,3740613.46539307,261.61599731,-0.72431,8.7,0.204,56016.398438
741031.35910034,3740613.33459473,261.60620117,-0.73304,8.82,0.204,56016.398438
741031.32799911,3740613.2199707,261.60540771,-0.74176,8.91,0.204,56016.398438
741031.29070091,3740613.09851074,261.60269165,-0.75049,9.01,0.204,56016.398438
741031.24710083,3740612.97021484,261.59790039,-0.75922,9.12,0.204,56016.398438
741031.20509911,3740612.84069824,261.59399414,-0.76794,9.23,0.204,56016.398438
741031.16460037,3740612.71008301,261.59091187,-0.77667,9.34,0.204,56016.398438
741031.1257,3740612.57849121,261.58850098,-0.7854,9.45,0.204,56016.398438
741031.4428997,3740613.79968262,261.62530518,-0.69813,8.43,0.199,56016.410156
741031.40660095,3740613.68890381,261.62179565,-0.70686,8.52,0.204,56016.410156
741031.3715992,3740613.5770874,261.61889648,-0.71558,8.61,0.204,56016.410156
741031.33779907,3740613.46447754,261.61679077,-0.72431,8.7,0.204,56016.410156
741031.28989983,3740613.33947754,261.60971069,-0.73304,8.81,0.204,56016.410156
741031.25119972,3740613.21899414,261.60620117,-0.74176,8.91,0.204,56016.410156
741031.21380043,3740613.09759521,261.60339355,-0.75049,9.01,0.204,56016.410156
741031.17029953,3740612.96929932,261.59869385,-0.75922,9.12,0.204,56016.410156
741031.12829971,3740612.83978271,261.5947876,-0.76794,9.23,0.204,56016.410156
741031.08029938,3740612.703125,261.58898926,-0.77667,9.35,0.204,56016.410156
741031.04140091,3740612.57141113,261.58670044,-0.7854,9.46,0.204,56016.410156
741031.46549988,3740614.1149292,261.63430786,-0.67195,8.18,0.204,56016.421875
741031.44149971,3740614.01751709,261.63479614,-0.68068,8.25,0.199,56016.421875
741031.40279961,3740613.90869141,261.63000488,-0.68941,8.34,0.204,56016.421875
741031.37319946,3740613.80432129,261.62869263,-0.69813,8.42,0.204,56016.421875
741031.33690071,3740613.69360352,261.62521362,-0.70686,8.51,0.199,56016.421875
741031.29400063,3740613.57629395,261.61950684,-0.71558,8.61,0.204,56016.421875
741031.25250053,3740613.45800781,261.61450195,-0.72431,8.71,0.204,56016.425781
741031.21240044,3740613.33868408,261.61029053,-0.73304,8.81,0.204,56016.425781
741031.16589928,3740613.21240234,261.60400391,-0.74176,8.92,0.21,56016.425781
741031.12100029,3740613.08508301,261.59860229,-0.75049,9.03,0.204,56016.425781
741031.08519936,3740612.96252441,261.59649658,-0.75922,9.13,0.204,56016.425781
741031.04319954,3740612.83288574,261.59259033,-0.76794,9.24,0.204,56016.425781
741030.99530029,3740612.69622803,261.58691406,-0.77667,9.36,0.204,56016.425781
