X,Y,Z,Angle,Distance,Retro,UTC
741002.45040011,3740612.68688965,261.74108887,-0.7854,8.99,0.199,56021.121094
741002.46259999,3740613.2255249,261.74038696,-0.74176,8.6,0.21,56021.132813
741002.45409989,3740613.12957764,261.74499512,-0.75049,8.66,0.21,56021.132813
741002.43160009,3740613.02160645,261.74429321,-0.75922,8.74,0.204,56021.132813
741002.40280008,3740612.90679932,261.74130249,-0.76794,8.83,0.204,56021.132813
741002.3901999,3740612.80328369,261.74468994,-0.77667,8.9,0.21,56021.132813
741002.37129998,3740612.69299316,261.74578857,-0.7854,8.98,0.199,56021.132813
741002.45140004,3740613.62579346,261.74108887,-0.70686,8.32,0.199,56021.144531
741002.4388001,3740613.53222656,261.74359131,-0.71558,8.38,0.21,56021.144531
741002.41930008,3740613.43249512,261.74349976,-0.72431,8.45,0.204,56021.144531
741002.40100002,3740613.33221436,261.74411011,-0.73304,8.52,0.215,56021.144531
741002.38380003,3740613.23120117,261.74508667,-0.74176,8.59,0.215,56021.144531
741002.3677001,3740613.12969971,261.74679565,-0.75049,8.66,0.21,56021.144531
741002.33759999,3740613.01568604,261.74310303,-0.75922,8.75,0.204,56021.144531
741002.32380009,3740612.91278076,261.74591064,-0.76794,8.82,0.204,56021.144531
741002.29629993,3740612.79730225,261.74349976,-0.77667,8.91,0.204,56021.144531
741002.28489995,3740612.69311523,261.74749756,-0.7854,8.98,0.204,56021.144531
741002.45609999,3740614.25042725,261.72930908,-0.64577,7.93,0.21,56021.15625
741002.4368,3740614.1605835,261.72848511,-0.6545,7.99,0.21,56021.15625
741002.42639995,3740614.07519531,261.73129272,-0.66323,8.04,0.215,56021.15625
741002.40899992,3740613.98419189,261.73141479,-0.67195,8.1,0.21,56021.160156
741002.40829992,3740613.90319824,261.73831177,-0.68068,8.14,0.21,56021.160156
741002.39269996,3740613.81121826,261.73928833,-0.68941,8.2,0.21,56021.160156
741002.37809992,3740613.71868896,261.74081421,-0.69813,8.26,0.204,56021.160156
741002.37220001,3740613.63110352,261.74591064,-0.70686,8.31,0.199,56021.160156
741002.3440001,3740613.52661133,261.74230957,-0.71558,8.39,0.21,56021.160156
741002.32459998,3740613.42687988,261.74230957,-0.72431,8.46,0.204,56021.160156
741002.30629992,3740613.32647705,261.7428894,-0.73304,8.53,0.21,56021.160156
741002.2967999,3740613.23120117,261.74688721,-0.74176,8.59,0.21,56021.160156
741002.2730999,3740613.1237793,261.74560547,-0.75049,8.67,0.21,56021.160156
741002.24300003,3740613.00982666,261.74200439,-0.75922,8.76,0.204,56021.160156
741002.22930002,3740612.90679932,261.74481201,-0.76794,8.83,0.204,56021.160156
741002.20180011,3740612.79119873,261.74249268,-0.77667,8.92,0.204,56021.160156
741002.19039989,3740612.68688965,261.74649048,-0.7854,8.99,0.21,56021.160156
741002.46490002,3740614.89880371,261.7171936,-0.57596,7.56,0.227,56021.171875
741002.46370006,3740614.82647705,261.72311401,-0.58469,7.59,0.221,56021.171875
741002.4467001,3740614.74499512,261.72250366,-0.59341,7.64,0.221,56021.171875
741002.43039989,3740614.6630249,261.72241211,-0.60214,7.69,0.221,56021.171875
741002.43140006,3740614.58972168,261.72940063,-0.61087,7.72,0.215,56021.171875
741002.40849996,3740614.5020752,261.72671509,-0.61959,7.78,0.215,56021.171875
741002.39470005,3740614.41870117,261.72790527,-0.62832,7.83,0.21,56021.171875
741002.36549997,3740614.32507324,261.72290039,-0.63705,7.9,0.215,56021.171875
741002.36159992,3740614.2454834,261.72808838,-0.64577,7.94,0.204,56021.171875
741002.35840011,3740614.16558838,261.73379517,-0.6545,7.98,0.21,56021.171875
741002.33200002,3740614.07019043,261.73019409,-0.66323,8.05,0.21,56021.171875
741002.32249999,3740613.98431396,261.73348999,-0.67195,8.1,0.21,56021.171875
741002.31399989,3740613.89801025,261.73721313,-0.68068,8.15,0.21,56021.171875
741002.29839993,3740613.80603027,261.73831177,-0.68941,8.21,0.204,56021.171875
741002.28379989,3740613.71337891,261.73980713,-0.69813,8.27,0.199,56021.171875
