X,Y,Z,Angle,Distance,Retro,UTC
741014.46580029,3740612.84051514,261.71380615,-0.76794,9.04,0.204,56019.210938
741014.43959999,3740612.72338867,261.71340942,-0.77667,9.13,0.204,56019.210938
741014.42210007,3740612.61157227,261.71640015,-0.7854,9.21,0.204,56019.210938
741014.44029999,3740613.07147217,261.71710205,-0.75049,8.86,0.204,56019.226563
741014.41899967,3740612.9619751,261.71810913,-0.75922,8.94,0.204,56019.226563
741014.39140034,3740612.8458252,261.7170105,-0.76794,9.03,0.204,56019.226563
741014.36509991,3740612.72869873,261.71661377,-0.77667,9.12,0.204,56019.226563
741014.34020042,3740612.61077881,261.71679688,-0.7854,9.21,0.204,56019.226563
741014.44439983,3740613.40631104,261.72421265,-0.72431,8.6,0.204,56019.238281
741014.41930008,3740613.29919434,261.72338867,-0.73304,8.68,0.21,56019.238281
741014.39540005,3740613.19128418,261.72311401,-0.74176,8.76,0.21,56019.238281
741014.36520004,3740613.07678223,261.72070313,-0.75049,8.85,0.204,56019.238281
741014.32870007,3740612.95550537,261.71609497,-0.75922,8.95,0.21,56019.238281
741014.30109978,3740612.83917236,261.71499634,-0.76794,9.04,0.204,56019.238281
741014.28240013,3740612.72808838,261.71728516,-0.77667,9.12,0.204,56019.238281
741014.25,3740612.60412598,261.71481323,-0.7854,9.22,0.204,56019.238281
741014.44419956,3740613.72277832,261.730896,-0.69813,8.36,0.204,56019.25
741014.41559982,3740613.61798096,261.728302,-0.70686,8.44,0.199,56019.25
741014.39589977,3740613.51800537,261.72918701,-0.71558,8.51,0.21,56019.25
741014.3696003,3740613.41168213,261.72769165,-0.72431,8.59,0.204,56019.25
741014.33679962,3740613.29888916,261.72390747,-0.73304,8.68,0.204,56019.25
741014.31299973,3740613.190979,261.72369385,-0.74176,8.76,0.21,56019.25
741014.28269958,3740613.07647705,261.72119141,-0.75049,8.85,0.21,56019.25
741014.25380039,3740612.96118164,261.71939087,-0.75922,8.94,0.204,56019.25
741014.21870041,3740612.83892822,261.71551514,-0.76794,9.04,0.204,56019.25
741014.19989967,3740612.72790527,261.71780396,-0.77667,9.12,0.204,56019.25
741014.16009998,3740612.59771729,261.71258545,-0.7854,9.23,0.204,56019.25
741014.45699978,3740614.19299316,261.72869873,-0.6545,8.04,0.204,56019.265625
741014.44709969,3740614.10717773,261.73260498,-0.66323,8.09,0.204,56019.265625
741014.42210007,3740614.01068115,261.73071289,-0.67195,8.16,0.204,56019.265625
741014.40610027,3740613.91870117,261.73251343,-0.68068,8.22,0.204,56019.265625
741014.39109993,3740613.82611084,261.73471069,-0.68941,8.28,0.204,56019.265625
741014.36130047,3740613.722229,261.73150635,-0.69813,8.36,0.204,56019.265625
741014.34060001,3740613.6229248,261.73181152,-0.70686,8.43,0.204,56019.265625
741014.31309986,3740613.51739502,261.72970581,-0.71558,8.51,0.204,56019.265625
741014.27910042,3740613.40551758,261.72531128,-0.72431,8.6,0.204,56019.265625
741014.26169968,3740613.30407715,261.72729492,-0.73304,8.67,0.21,56019.265625
741014.23009968,3740613.19049072,261.72409058,-0.74176,8.76,0.21,56019.265625
741014.20750046,3740613.08178711,261.7244873,-0.75049,8.84,0.199,56019.265625
741014.17090034,3740612.96057129,261.7197876,-0.75922,8.94,0.204,56019.265625
741014.13580036,3740612.83837891,261.71591187,-0.76794,9.04,0.204,56019.265625
741014.11699963,3740612.72729492,261.71820068,-0.77667,9.12,0.204,56019.265625
741014.08460045,3740612.60327148,261.71569824,-0.7854,9.22,0.204,56019.265625
741014.46399975,3740614.55450439,261.73400879,-0.61959,7.79,0.215,56019.277344
741014.45049953,3740614.4710083,261.73599243,-0.62832,7.84,0.215,56019.277344
741014.42160034,3740614.37719727,261.73220825,-0.63705,7.91,0.21,56019.277344
741014.40989971,3740614.29248047,261.73510742,-0.64577,7.96,0.21,56019.277344
741014.39089966,3740614.20239258,261.7354126,-0.6545,8.02,0.204,56019.277344
741014.36489964,3740614.10662842,261.73300171,-0.66323,8.09,0.199,56019.277344
741014.35589981,3740614.02038574,261.73730469,-0.67195,8.14,0.204,56019.277344
741014.33189964,3740613.92327881,261.73590088,-0.68068,8.21,0.199,56019.277344
741014.30900002,3740613.82550049,261.73510742,-0.68941,8.28,0.204,56019.277344
741014.29489994,3740613.73242188,261.73779297,-0.69813,8.34,0.204,56019.277344
741014.25839996,3740613.62231445,261.73208618,-0.70686,8.43,0.204,56019.277344
741014.23869991,3740613.52227783,261.73300171,-0.71558,8.5,0.204,56019.277344
741014.20470047,3740613.41052246,261.72848511,-0.72431,8.59,0.204,56019.277344
741014.18729973,3740613.30908203,261.73049927,-0.73304,8.66,0.21,56019.277344
741014.14799976,3740613.18981934,261.72439575,-0.74176,8.76,0.204,56019.277344
741014.12539959,3740613.08117676,261.72470093,-0.75049,8.84,0.21,56019.277344
741014.08880043,3740612.9598999,261.72000122,-0.75922,8.94,0.204,56019.277344
741014.06869984,3740612.84967041,261.72171021,-0.76794,9.02,0.21,56019.277344
741014.03489971,3740612.72662354,261.71841431,-0.77667,9.12,0.21,56019.277344
741014.00259972,3740612.6026001,261.71578979,-0.7854,9.22,0.204,56019.277344
741014.46030045,3740614.82019043,261.74380493,-0.59341,7.6,0.221,56019.289063
741014.4357996,3740614.73382568,261.74121094,-0.60214,7.66,0.215,56019.289063
741014.41230011,3740614.64678955,261.73910522,-0.61087,7.72,0.215,56019.289063
741014.38969994,3740614.5592041,261.73748779,-0.61959,7.78,0.215,56019.289063
741014.36800003,3740614.47088623,261.73629761,-0.62832,7.84,0.21,56019.289063
741014.34720039,3740614.38201904,261.7355957,-0.63705,7.9,0.21,56019.289063
741014.33539963,3740614.29748535,261.73849487,-0.64577,7.95,0.21,56019.289063
741014.30830002,3740614.20239258,261.7355957,-0.6545,8.02,0.204,56019.289063
