X,Y,Z,Angle,Distance,Retro,UTC
741045.46300125,3740620.09179688,261.31900024,0.1309,6.26,0.227,56014.148438
741045.45470047,3740620.03692627,261.32180786,0.12217,6.25,0.232,56014.148438
741045.44670105,3740619.9821167,261.32479858,0.11345,6.24,0.227,56014.148438
741045.43930054,3740619.9274292,261.32800293,0.10472,6.23,0.227,56014.148438
741045.42350006,3740619.87518311,261.32730103,0.09599,6.23,0.227,56014.148438
741045.40819931,3740619.82287598,261.32681274,0.08727,6.23,0.227,56014.148438
741045.40209961,3740619.76812744,261.33059692,0.07854,6.22,0.232,56014.148438
741045.39640045,3740619.71337891,261.33450317,0.06981,6.21,0.227,56014.148438
741045.38240051,3740619.66088867,261.33459473,0.06109,6.21,0.227,56014.148438
741045.36869812,3740619.60839844,261.3348999,0.05236,6.21,0.232,56014.148438
741045.35549927,3740619.5557251,261.33538818,0.04363,6.21,0.227,56014.148438
741045.28680038,3740619.29272461,261.33660889,0.0,6.22,0.492,56014.148438
741045.28519821,3740619.23779297,261.34228516,-0.00873,6.21,0.414,56014.148438
741045.43019867,3740620.42858887,261.29971313,0.18326,6.34,0.265,56014.164063
741045.41040039,3740620.37677002,261.29721069,0.17453,6.34,0.287,56014.164063
741045.4253006,3740620.31188965,261.31109619,0.16581,6.3,0.238,56014.164063
741045.42359924,3740620.25378418,261.31710815,0.15708,6.28,0.227,56014.164063
741045.41389847,3740620.19897461,261.31930542,0.14835,6.27,0.227,56014.164063
741045.38729858,3740620.15020752,261.31359863,0.13963,6.28,0.232,56014.164063
741045.3783989,3740620.09521484,261.31619263,0.1309,6.27,0.227,56014.164063
741045.37870026,3740620.03741455,261.3230896,0.12217,6.25,0.227,56014.164063
741045.37080002,3740619.98260498,261.32598877,0.11345,6.24,0.227,56014.164063
741045.36339951,3740619.92779541,261.32919312,0.10472,6.23,0.227,56014.164063
741045.34769821,3740619.87567139,261.32849121,0.09599,6.23,0.227,56014.164063
741045.34109879,3740619.82092285,261.33209229,0.08727,6.22,0.227,56014.164063
741045.32619858,3740619.76861572,261.33178711,0.07854,6.22,0.227,56014.164063
741045.3117981,3740619.71618652,261.33169556,0.06981,6.22,0.227,56014.164063
741045.29769897,3740619.66357422,261.33178711,0.06109,6.22,0.232,56014.164063
741045.28409958,3740619.61102295,261.33209229,0.05236,6.22,0.232,56014.164063
741045.2887001,3740619.55407715,261.34069824,0.04363,6.2,0.227,56014.164063
741045.27590179,3740619.50140381,261.34130859,0.03491,6.2,0.227,56014.164063
741045.2635994,3740619.4486084,261.3421936,0.02618,6.2,0.227,56014.164063
741045.25170135,3740619.39581299,261.34320068,0.01745,6.2,0.227,56014.164063
741045.24020004,3740619.34277344,261.34451294,0.00873,6.2,0.42,56014.164063
741045.21120071,3740619.29309082,261.33779907,0.0,6.22,0.486,56014.164063
741045.20050049,3740619.23980713,261.33938599,-0.00873,6.22,0.409,56014.164063
741045.20830154,3740619.18347168,261.3493042,-0.01745,6.2,0.221,56014.164063
741045.19860077,3740619.13031006,261.35128784,-0.02618,6.2,0.227,56014.164063
741045.18009949,3740619.07830811,261.3494873,-0.03491,6.21,0.221,56014.164063
741045.1711998,3740619.02478027,261.35189819,-0.04363,6.21,0.221,56014.164063
741045.16270065,3740618.97131348,261.35440063,-0.05236,6.21,0.227,56014.164063
741045.15459824,3740618.91772461,261.35720825,-0.06109,6.21,0.221,56014.164063
741045.14699936,3740618.86407471,261.36019897,-0.06981,6.21,0.215,56014.164063
741045.13059998,3740618.8112793,261.35931396,-0.07854,6.22,0.215,56014.164063
741045.10829926,3740618.70440674,261.36221313,-0.09599,6.23,0.221,56014.164063
741045.36330032,3740620.42559814,261.30480957,0.18326,6.33,0.315,56014.175781
741045.35210037,3740620.37060547,261.30639648,0.17453,6.32,0.298,56014.175781
741045.35839844,3740620.30908203,261.3163147,0.16581,6.29,0.232,56014.175781
741045.33969879,3740620.25738525,261.31420898,0.15708,6.29,0.232,56014.175781
741045.32989883,3740620.20251465,261.31640625,0.14835,6.28,0.238,56014.175781
741045.3205986,3740620.14758301,261.31878662,0.13963,6.27,0.232,56014.175781
741045.32049942,3740620.08978271,261.32540894,0.1309,6.25,0.227,56014.175781
741045.30339813,3740620.03790283,261.32418823,0.12217,6.25,0.232,56014.175781
741045.28680038,3740619.98577881,261.3230896,0.11345,6.25,0.227,56014.175781
741045.2969017,3740619.92559814,261.33441162,0.10472,6.22,0.227,56014.175781
741045.28120041,3740619.87347412,261.33370972,0.09599,6.22,0.227,56014.175781
741045.26589966,3740619.82128906,261.33319092,0.08727,6.22,0.227,56014.175781
741045.24219894,3740619.77142334,261.32888794,0.07854,6.23,0.227,56014.175781
741045.23659897,3740619.71661377,261.33279419,0.06981,6.22,0.232,56014.175781
741045.22249985,3740619.66400146,261.33288574,0.06109,6.22,0.232,56014.175781
741045.20890045,3740619.61138916,261.33319092,0.05236,6.22,0.232,56014.175781
741045.21350098,3740619.55450439,261.34179688,0.04363,6.2,0.227,56014.175781
741045.20080185,3740619.50177002,261.34240723,0.03491,6.2,0.227,56014.175781
741045.18849945,3740619.44897461,261.34329224,0.02618,6.2,0.227,56014.175781
741045.17660141,3740619.3961792,261.34429932,0.01745,6.2,0.227,56014.175781
741045.16519928,3740619.34320068,261.34561157,0.00873,6.2,0.425,56014.175781
741045.13610077,3740619.29351807,261.33889771,0.0,6.22,0.497,56014.175781
741045.14350128,3740619.23712158,261.34860229,-0.00873,6.2,0.431,56014.175781
741045.14239883,3740619.18237305,261.35440063,-0.01745,6.19,0.227,56014.175781
741045.12360001,3740619.13061523,261.35238647,-0.02618,6.2,0.221,56014.175781
741045.11420059,3740619.07727051,261.35461426,-0.03491,6.2,0.221,56014.175781
741045.09629822,3740619.02520752,261.35290527,-0.04363,6.21,0.221,56014.175781
741045.08779907,3740618.97161865,261.35549927,-0.05236,6.21,0.221,56014.175781
741045.07970047,3740618.91809082,261.35830688,-0.06109,6.21,0.221,56014.175781
741045.07210159,3740618.86437988,261.36120605,-0.06981,6.21,0.215,56014.175781
741045.04660034,3740618.8125,261.35641479,-0.07854,6.23,0.221,56014.175781
741045.03990173,3740618.75860596,261.35971069,-0.08727,6.23,0.221,56014.175781
741045.04259872,3740618.70397949,261.36730957,-0.09599,6.22,0.215,56014.179688
741045.01839828,3740618.65142822,261.36300659,-0.10472,6.24,0.215,56014.179688
741045.01290131,3740618.59729004,261.36691284,-0.11345,6.24,0.215,56014.179688
741045.00790024,3740618.54321289,261.3710022,-0.12217,6.24,0.215,56014.179688
741045.00320053,3740618.48907471,261.37530518,-0.1309,6.24,0.221,56014.179688
741044.99909973,3740618.43487549,261.37979126,-0.13963,6.24,0.221,56014.179688
741044.98609924,3740618.38098145,261.38049316,-0.14835,6.25,0.215,56014.179688
741044.96149826,3740618.27252197,261.38259888,-0.16581,6.27,0.215,56014.179688
741045.40890121,3740620.43579102,261.3565979,0.19199,6.21,0.215,56014.1875
741045.3042984,3740620.41931152,261.31369019,0.18326,6.31,0.26,56014.1875
741045.27610016,3740620.37109375,261.30718994,0.17453,6.32,0.249,56014.1875
741045.28250122,3740620.30957031,261.31710815,0.16581,6.29,0.232,56014.1875
741045.27230072,3740620.25469971,261.3190918,0.15708,6.28,0.232,56014.1875
741045.27119827,3740620.19677734,261.32528687,0.14835,6.26,0.232,56014.1875
741045.2533989,3740620.14508057,261.32369995,0.13963,6.26,0.227,56014.1875
741045.23590088,3740620.09320068,261.32220459,0.1309,6.26,0.232,56014.1875
741045.23630142,3740620.03552246,261.32910156,0.12217,6.24,0.227,56014.1875
741045.22840118,3740619.98077393,261.33200073,0.11345,6.23,0.227,56014.1875
741045.22109985,3740619.92608643,261.33520508,0.10472,6.22,0.227,56014.191406
741045.21409988,3740619.87139893,261.33859253,0.09599,6.21,0.227,56014.191406
741045.19889832,3740619.8192749,261.33810425,0.08727,6.21,0.227,56014.191406
741045.1841011,3740619.76702881,261.33779907,0.07854,6.21,0.227,56014.191406
741045.17850113,3740619.71240234,261.34179688,0.06981,6.2,0.232,56014.191406
741045.15570068,3740619.66217041,261.33779907,0.06109,6.21,0.227,56014.191406
741045.14210129,3740619.60968018,261.33810425,0.05236,6.21,0.232,56014.191406
741045.13779831,3740619.55487061,261.34259033,0.04363,6.2,0.227,56014.191406
741045.13410187,3740619.50018311,261.34729004,0.03491,6.19,0.227,56014.191406
741045.13069916,3740619.44567871,261.35220337,0.02618,6.18,0.227,56014.191406
741045.10990143,3740619.39477539,261.34921265,0.01745,6.19,0.221,56014.191406
741045.0984993,3740619.34191895,261.35040283,0.00873,6.19,0.436,56014.191406
741045.06949997,3740619.29217529,261.34381104,0.0,6.21,0.497,56014.191406
741045.06790161,3740619.23748779,261.34939575,-0.00873,6.2,0.436,56014.191406
741045.06679916,3740619.18280029,261.35528564,-0.01745,6.19,0.227,56014.191406
741045.05699921,3740619.12969971,261.3572998,-0.02618,6.19,0.221,56014.191406
741045.04769897,3740619.07641602,261.35949707,-0.03491,6.19,0.221,56014.191406
741045.02980042,3740619.02429199,261.35778809,-0.04363,6.2,0.227,56014.191406
741045.02130127,3740618.97088623,261.3604126,-0.05236,6.2,0.221,56014.191406
741045.00419998,3740618.918396,261.35910034,-0.06109,6.21,0.221,56014.191406
741044.9966011,3740618.86480713,261.36209106,-0.06981,6.21,0.215,56014.191406
741044.98939896,3740618.81109619,261.36520386,-0.07854,6.21,0.221,56014.191406
741044.98270035,3740618.75738525,261.36859131,-0.08727,6.21,0.215,56014.191406
741044.97629929,3740618.70367432,261.37210083,-0.09599,6.21,0.215,56014.191406
741044.95220184,3740618.65112305,261.36779785,-0.10472,6.23,0.215,56014.191406
741044.94670105,3740618.59710693,261.37179565,-0.11345,6.23,0.215,56014.191406
741044.94169998,3740618.54309082,261.37588501,-0.12217,6.23,0.215,56014.191406
741044.93709946,3740618.48907471,261.38018799,-0.1309,6.23,0.215,56014.191406
741044.93289948,3740618.43499756,261.38461304,-0.13963,6.23,0.221,56014.191406
741044.91080093,3740618.38128662,261.38140869,-0.14835,6.25,0.215,56014.191406
741044.89830017,3740618.32720947,261.3822937,-0.15708,6.26,0.221,56014.191406
741044.895401,3740618.27282715,261.38739014,-0.16581,6.26,0.215,56014.191406
741044.89300156,3740618.21850586,261.39260864,-0.17453,6.26,0.215,56014.191406
741044.88180161,3740618.16400146,261.39419556,-0.18326,6.27,0.215,56014.191406
741044.87110138,3740618.10931396,261.39590454,-0.19199,6.28,0.21,56014.191406
741044.85160065,3740618.05407715,261.39389038,-0.20071,6.3,0.21,56014.191406
741044.84170151,3740617.99908447,261.39608765,-0.20944,6.31,0.21,56014.191406
741044.79740143,3740617.77648926,261.40289307,-0.24435,6.36,0.215,56014.191406
741045.34199905,3740620.43267822,261.36151123,0.19199,6.2,0.221,56014.203125
741045.23730087,3740620.41619873,261.31860352,0.18326,6.3,0.249,56014.203125
741045.21770096,3740620.36480713,261.31619263,0.17453,6.3,0.243,56014.203125
741045.21569824,3740620.30657959,261.32199097,0.16581,6.28,0.238,56014.203125
741045.20550156,3740620.25189209,261.32400513,0.15708,6.27,0.238,56014.203125
741045.20449829,3740620.19396973,261.3302002,0.14835,6.25,0.232,56014.203125
741045.18669891,3740620.14239502,261.32861328,0.13963,6.25,0.232,56014.203125
741045.17789841,3740620.08770752,261.33120728,0.1309,6.24,0.227,56014.203125
741045.15230179,3740620.03857422,261.32589722,0.12217,6.25,0.232,56014.203125
741045.15319824,3740619.9810791,261.33288574,0.11345,6.23,0.227,56014.203125
741045.14580154,3740619.92626953,261.33609009,0.10472,6.22,0.227,56014.203125
741045.13010025,3740619.87432861,261.33538818,0.09599,6.22,0.232,56014.203125
741045.12369919,3740619.81958008,261.33898926,0.08727,6.21,0.227,56014.203125
741045.10889816,3740619.76727295,261.3387146,0.07854,6.21,0.227,56014.203125
741045.10329819,3740619.71258545,261.34259033,0.06981,6.2,0.227,56014.203125
741045.08940125,3740619.66027832,261.3427124,0.06109,6.2,0.232,56014.203125
741045.07580185,3740619.60778809,261.34298706,0.05236,6.2,0.232,56014.203125
741045.06269836,3740619.55517578,261.34350586,0.04363,6.2,0.227,56014.203125
741045.05889893,3740619.50048828,261.34820557,0.03491,6.19,0.227,56014.203125
741045.05559921,3740619.44592285,261.35308838,0.02618,6.18,0.221,56014.203125
741045.04380035,3740619.39318848,261.35418701,0.01745,6.18,0.227,56014.203125
741045.02339935,3740619.34210205,261.35128784,0.00873,6.19,0.436,56014.203125
741045.00350189,3740619.29077148,261.34869385,0.0,6.2,0.497,56014.203125
741045.00189972,3740619.23620605,261.35440063,-0.00873,6.19,0.436,56014.203125
741045.00979996,3740619.18011475,261.36428833,-0.01745,6.17,0.227,56014.203125
741044.99110031,3740619.128479,261.36221313,-0.02618,6.18,0.227,56014.203125
741044.98180008,3740619.07531738,261.3644104,-0.03491,6.18,0.221,56014.203125
741044.97299957,3740619.02209473,261.36679077,-0.04363,6.18,0.221,56014.203125
741044.95550156,3740618.9699707,261.36529541,-0.05236,6.19,0.221,56014.203125
741044.94749832,3740618.91662598,261.36810303,-0.06109,6.19,0.227,56014.203125
741044.92169952,3740618.86499023,261.36300659,-0.06981,6.21,0.221,56014.203125
741044.91450119,3740618.81140137,261.36608887,-0.07854,6.21,0.221,56014.203125
741044.90779877,3740618.75762939,261.36950684,-0.08727,6.21,0.215,56014.203125
741044.9015007,3740618.70391846,261.37298584,-0.09599,6.21,0.215,56014.203125
741044.89559937,3740618.65008545,261.37670898,-0.10472,6.21,0.215,56014.203125
741044.88100052,3740618.59680176,261.37658691,-0.11345,6.22,0.215,56014.203125
741044.87599945,3740618.54290771,261.38070679,-0.12217,6.22,0.215,56014.203125
741044.87139893,3740618.4888916,261.38500977,-0.1309,6.22,0.221,56014.203125
741044.86729813,3740618.43499756,261.38949585,-0.13963,6.22,0.21,56014.203125
741044.85440063,3740618.38110352,261.39019775,-0.14835,6.23,0.215,56014.203125
741044.83280182,3740618.32720947,261.38720703,-0.15708,6.25,0.215,56014.203125
741044.8207016,3740618.27301025,261.38830566,-0.16581,6.26,0.215,56014.203125
741044.81829834,3740618.21868896,261.39349365,-0.17453,6.26,0.21,56014.207031
741044.80720139,3740618.16418457,261.39511108,-0.18326,6.27,0.215,56014.207031
741044.79639816,3740618.10949707,261.39678955,-0.19199,6.28,0.215,56014.207031
741044.78609848,3740618.05462646,261.39871216,-0.20071,6.29,0.21,56014.207031
741044.77629852,3740617.99969482,261.40078735,-0.20944,6.3,0.21,56014.207031
741044.77600098,3740617.94500732,261.40710449,-0.21817,6.3,0.21,56014.207031
741044.76710129,3740617.88977051,261.40960693,-0.22689,6.31,0.21,56014.207031
741044.7492981,3740617.83380127,261.4085083,-0.23562,6.33,0.215,56014.207031
741044.73210144,3740617.77740479,261.40759277,-0.24435,6.35,0.215,56014.207031
741044.72449875,3740617.72161865,261.41079712,-0.25307,6.36,0.215,56014.207031
741044.71730042,3740617.66571045,261.41421509,-0.2618,6.37,0.215,56014.207031
741045.2580986,3740620.43658447,261.35848999,0.19199,6.21,0.221,56014.214844
741045.14490128,3740620.42340088,261.31149292,0.18326,6.32,0.265,56014.214844
741045.15090179,3740620.36181641,261.32119751,0.17453,6.29,0.249,56014.214844
741045.14030075,3740620.30700684,261.32299805,0.16581,6.28,0.238,56014.214844
741045.13019943,3740620.25231934,261.32501221,0.15708,6.27,0.232,56014.214844
741045.12049866,3740620.19750977,261.32720947,0.14835,6.26,0.232,56014.214844
741045.10269928,3740620.14581299,261.32550049,0.13963,6.26,0.232,56014.214844
741045.09400177,3740620.09088135,261.32809448,0.1309,6.25,0.227,56014.214844
741045.08570099,3740620.03619385,261.3309021,0.12217,6.24,0.232,56014.214844
741045.06919861,3740619.98419189,261.32980347,0.11345,6.24,0.232,56014.214844
741045.0705986,3740619.92669678,261.33709717,0.10472,6.22,0.232,56014.214844
741045.05490112,3740619.87457275,261.33639526,0.09599,6.22,0.227,56014.214844
741045.04850006,3740619.81988525,261.33990479,0.08727,6.21,0.227,56014.214844
741045.03369904,3740619.7677002,261.33969116,0.07854,6.21,0.232,56014.214844
741045.01929855,3740619.715271,261.33950806,0.06981,6.21,0.232,56014.214844
