X,Y,Z,Angle,Distance,Retro,UTC
741006.4460001,3740612.8538208,261.74359131,-0.76794,8.94,0.204,56020.492188
741006.42659998,3740612.7434082,261.74468994,-0.77667,9.02,0.199,56020.492188
741006.41590023,3740612.63842773,261.74920654,-0.7854,9.09,0.199,56020.492188
741006.45849991,3740613.29302979,261.7460022,-0.73304,8.61,0.21,56020.503906
741006.44189978,3740613.19140625,261.74749756,-0.74176,8.68,0.21,56020.503906
741006.41870022,3740613.08331299,261.7467041,-0.75049,8.76,0.21,56020.503906
741006.39680004,3740612.9744873,261.74649048,-0.75922,8.84,0.204,56020.503906
741006.36859989,3740612.85900879,261.74398804,-0.76794,8.93,0.204,56020.503906
741006.34170008,3740612.74267578,261.74230957,-0.77667,9.02,0.199,56020.503906
741006.32359982,3740612.6315918,261.74398804,-0.7854,9.1,0.199,56020.503906
741006.45830011,3740613.69812012,261.7460022,-0.69813,8.32,0.204,56020.519531
741006.43720007,3740613.59912109,261.74530029,-0.70686,8.39,0.204,56020.519531
741006.40939999,3740613.49401855,261.7421875,-0.71558,8.47,0.21,56020.519531
741006.39830017,3740613.39916992,261.74560547,-0.72431,8.53,0.21,56020.519531
741006.37279987,3740613.29260254,261.74359131,-0.73304,8.61,0.21,56020.519531
741006.34849977,3740613.18518066,261.7421875,-0.74176,8.69,0.215,56020.519531
741006.31780005,3740613.07128906,261.73849487,-0.75049,8.78,0.215,56020.519531
741006.30359983,3740612.96820068,261.74121094,-0.75922,8.85,0.204,56020.519531
741006.27540016,3740612.85272217,261.7387085,-0.76794,8.94,0.204,56020.519531
741006.24860001,3740612.73632813,261.73699951,-0.77667,9.03,0.199,56020.519531
741006.22310019,3740612.61901855,261.73590088,-0.7854,9.12,0.199,56020.519531
741006.46490002,3740614.2421875,261.73660278,-0.64577,7.97,0.21,56020.53125
741006.45389986,3740614.15698242,261.73919678,-0.6545,8.02,0.21,56020.53125
741006.42780018,3740614.06121826,261.73599243,-0.66323,8.09,0.204,56020.53125
741006.42659998,3740613.98022461,261.7427063,-0.67195,8.13,0.204,56020.53125
741006.40250015,3740613.88317871,261.74050903,-0.68068,8.2,0.204,56020.53125
741006.38730001,3740613.79077148,261.74179077,-0.68941,8.26,0.199,56020.53125
741006.36520004,3740613.69238281,261.74060059,-0.69813,8.33,0.204,56020.53125
741006.3441,3740613.59338379,261.73999023,-0.70686,8.4,0.204,56020.53125
741006.31640005,3740613.48822021,261.73678589,-0.71558,8.48,0.204,56020.53125
741006.30530024,3740613.39337158,261.74029541,-0.72431,8.54,0.21,56020.53125
741006.26450014,3740613.27532959,261.73239136,-0.73304,8.64,0.21,56020.53125
741006.25559998,3740613.17919922,261.73690796,-0.74176,8.7,0.21,56020.53125
741006.23260021,3740613.07098389,261.7361145,-0.75049,8.78,0.204,56020.53125
741006.20319986,3740612.95617676,261.73309326,-0.75922,8.87,0.21,56020.53125
741006.18260002,3740612.84649658,261.73348999,-0.76794,8.95,0.204,56020.53125
741006.16330004,3740612.73602295,261.73458862,-0.77667,9.03,0.199,56020.53125
741006.13040018,3740612.6126709,261.73071289,-0.7854,9.13,0.199,56020.53125
741006.45580006,3740614.66467285,261.73080444,-0.60214,7.71,0.215,56020.542969
741006.43230009,3740614.57727051,261.72808838,-0.61087,7.77,0.21,56020.542969
