X,Y,Z,Angle,Distance,Retro,UTC
740984.45590019,3740612.78192139,261.58380127,-0.7854,8.45,0.204,56024.011719
740984.46280003,3740613.2902832,261.59109497,-0.74176,8.08,0.204,56024.027344
740984.46010017,3740613.20391846,261.59619141,-0.75049,8.13,0.204,56024.027344
740984.43620014,3740613.09942627,261.59210205,-0.75922,8.21,0.199,56024.027344
740984.42080021,3740613.00012207,261.59179688,-0.76794,8.28,0.199,56024.027344
740984.3991003,3740612.89422607,261.58898926,-0.77667,8.36,0.204,56024.027344
740984.37870026,3740612.78759766,261.58670044,-0.7854,8.44,0.199,56024.027344
740984.45839977,3740613.75390625,261.59521484,-0.69813,7.76,0.21,56024.039063
740984.44349957,3740613.66442871,261.59451294,-0.70686,7.82,0.21,56024.039063
740984.42940044,3740613.57427979,261.59429932,-0.71558,7.88,0.204,56024.039063
740984.41639996,3740613.48370361,261.59460449,-0.72431,7.94,0.204,56024.039063
740984.39669991,3740613.38690186,261.59210205,-0.73304,8.01,0.204,56024.039063
740984.38560009,3740613.29522705,261.59341431,-0.74176,8.07,0.204,56024.039063
740984.36060047,3740613.19140625,261.58880615,-0.75049,8.15,0.199,56024.039063
740984.3441,3740613.09259033,261.5880127,-0.75922,8.22,0.204,56024.039063
740984.3288002,3740612.99328613,261.58779907,-0.76794,8.29,0.199,56024.039063
740984.29979992,3740612.88128662,261.58190918,-0.77667,8.38,0.204,56024.039063
740984.27950001,3740612.7744751,261.57980347,-0.7854,8.46,0.204,56024.039063
740984.44750023,3740614.18170166,261.59759521,-0.6545,7.48,0.215,56024.050781
740984.42800045,3740614.0949707,261.59451294,-0.66323,7.54,0.215,56024.050781
740984.40939999,3740614.00769043,261.59188843,-0.67195,7.6,0.21,56024.050781
740984.39169979,3740613.91967773,261.58981323,-0.68068,7.66,0.21,56024.050781
740984.37489986,3740613.83117676,261.5881958,-0.68941,7.72,0.21,56024.050781
740984.36680031,3740613.74749756,261.59051514,-0.69813,7.77,0.21,56024.050781
740984.3519001,3740613.65789795,261.58981323,-0.70686,7.83,0.21,56024.050781
740984.3302002,3740613.56231689,261.58639526,-0.71558,7.9,0.21,56024.054688
740984.32479954,3740613.47717285,261.59008789,-0.72431,7.95,0.199,56024.054688
740984.30519962,3740613.38031006,261.58770752,-0.73304,8.02,0.204,56024.054688
740984.2791996,3740613.27697754,261.58261108,-0.74176,8.1,0.204,56024.054688
740984.27659988,3740613.19042969,261.58779907,-0.75049,8.15,0.199,56024.054688
740984.25279999,3740613.08581543,261.58389282,-0.75922,8.23,0.199,56024.054688
740984.23740005,3740612.98638916,261.58380127,-0.76794,8.3,0.199,56024.054688
740984.20849991,3740612.87432861,261.57800293,-0.77667,8.39,0.204,56024.054688
