X,Y,Z,Angle,Distance,Retro,UTC
740994.45870018,3740613.16119385,261.81491089,-0.75922,8.38,0.204,56022.414063
740994.45860004,3740613.0725708,261.82080078,-0.76794,8.43,0.204,56022.414063
740994.44449997,3740612.97167969,261.82128906,-0.77667,8.5,0.204,56022.414063
740994.43160009,3740612.87030029,261.82229614,-0.7854,8.57,0.204,56022.414063
740994.43979979,3740613.956604,261.78790283,-0.68068,7.9,0.21,56022.425781
740994.45499992,3740613.88751221,261.79949951,-0.68941,7.92,0.215,56022.425781
740994.43959999,3740613.79699707,261.7986145,-0.69813,7.98,0.21,56022.425781
740994.43289995,3740613.71130371,261.80130005,-0.70686,8.03,0.21,56022.425781
740994.43489981,3740613.63079834,261.80758667,-0.71558,8.07,0.204,56022.425781
740994.4222002,3740613.53887939,261.80801392,-0.72431,8.13,0.204,56022.425781
740994.40290022,3740613.4407959,261.8059082,-0.73304,8.2,0.204,56022.425781
740994.39989996,3740613.35351563,261.81039429,-0.74176,8.25,0.21,56022.425781
740994.39020014,3740613.26000977,261.81228638,-0.75049,8.31,0.199,56022.425781
740994.37400007,3740613.16021729,261.81161499,-0.75922,8.38,0.204,56022.425781
740994.36639977,3740613.06567383,261.81451416,-0.76794,8.44,0.199,56022.425781
740994.35239983,3740612.96478271,261.81500244,-0.77667,8.51,0.204,56022.425781
740994.34689999,3740612.86932373,261.81890869,-0.7854,8.57,0.204,56022.425781
740994.4605999,3740614.69500732,261.78311157,-0.60214,7.46,0.221,56022.4375
740994.45289993,3740614.61877441,261.78469849,-0.61087,7.5,0.215,56022.4375
740994.44589996,3740614.54229736,261.78671265,-0.61959,7.54,0.215,56022.4375
740994.43160009,3740614.46057129,261.78561401,-0.62832,7.59,0.221,56022.4375
740994.42619991,3740614.38330078,261.78839111,-0.63705,7.63,0.215,56022.4375
740994.41340017,3740614.30072021,261.78820801,-0.64577,7.68,0.215,56022.4375
740994.40150023,3740614.2177124,261.78829956,-0.6545,7.73,0.21,56022.4375
740994.39050007,3740614.13427734,261.78890991,-0.66323,7.78,0.21,56022.4375
740994.38030005,3740614.05029297,261.78988647,-0.67195,7.83,0.21,56022.4375
740994.37890005,3740613.97113037,261.79458618,-0.68068,7.87,0.21,56022.4375
740994.37830019,3740613.89172363,261.79971313,-0.68941,7.91,0.21,56022.4375
740994.36280012,3740613.8012085,261.79870605,-0.69813,7.97,0.21,56022.4375
740994.35610008,3740613.71569824,261.8013916,-0.70686,8.02,0.21,56022.4375
740994.35029984,3740613.62969971,261.80450439,-0.71558,8.07,0.204,56022.4375
740994.3453002,3740613.54327393,261.80801392,-0.72431,8.12,0.204,56022.4375
740994.33360004,3740613.45098877,261.80889893,-0.73304,8.18,0.204,56022.4375
740994.32289982,3740613.35809326,261.81021118,-0.74176,8.24,0.204,56022.4375
740994.3132,3740613.26470947,261.81201172,-0.75049,8.3,0.204,56022.4375
740994.3045001,3740613.17077637,261.81439209,-0.75922,8.36,0.21,56022.4375
740994.29680014,3740613.07647705,261.81719971,-0.76794,8.42,0.199,56022.4375
740994.27530003,3740612.96972656,261.81451416,-0.77667,8.5,0.204,56022.441406
740994.26980019,3740612.87432861,261.81838989,-0.7854,8.56,0.204,56022.441406
740994.45819998,3740615.22058105,261.78320313,-0.54105,7.17,0.243,56022.449219
740994.4369998,3740615.14318848,261.77880859,-0.54978,7.22,0.37,56022.449219
740994.45849991,3740615.08569336,261.79238892,-0.55851,7.22,0.442,56022.449219
740994.44710016,3740615.01177979,261.79211426,-0.56723,7.26,0.238,56022.449219
740994.41960001,3740614.92889404,261.78530884,-0.57596,7.32,0.227,56022.453125
740994.40959978,3740614.85400391,261.78579712,-0.58469,7.36,0.227,56022.453125
740994.40040016,3740614.77868652,261.78659058,-0.59341,7.4,0.221,56022.453125
740994.39179993,3740614.70300293,261.78781128,-0.60214,7.44,0.221,56022.453125
740994.39230013,3740614.63146973,261.79278564,-0.61087,7.47,0.215,56022.453125
740994.36070013,3740614.54119873,261.78448486,-0.61959,7.54,0.221,56022.453125
740994.36259985,3740614.46899414,261.79019165,-0.62832,7.57,0.215,56022.453125
740994.35710001,3740614.39190674,261.79290771,-0.63705,7.61,0.221,56022.453125
740994.34429979,3740614.30950928,261.79260254,-0.64577,7.66,0.221,56022.453125
740994.33230019,3740614.22662354,261.79269409,-0.6545,7.71,0.215,56022.453125
740994.32119989,3740614.14331055,261.79321289,-0.66323,7.76,0.21,56022.453125
740994.31099987,3740614.05950928,261.79418945,-0.67195,7.81,0.21,56022.453125
740994.30950022,3740613.98052979,261.79879761,-0.68068,7.85,0.21,56022.453125
740994.30089998,3740613.89587402,261.80050659,-0.68941,7.9,0.21,56022.453125
740994.29320002,3740613.81091309,261.80270386,-0.69813,7.95,0.21,56022.453125
740994.28639984,3740613.72540283,261.80529785,-0.70686,8.0,0.204,56022.453125
740994.27279997,3740613.63409424,261.8052063,-0.71558,8.06,0.21,56022.453125
740994.26779985,3740613.54779053,261.80859375,-0.72431,8.11,0.204,56022.453125
740994.25600004,3740613.45550537,261.80950928,-0.73304,8.17,0.204,56022.453125
740994.25290012,3740613.3684082,261.81381226,-0.74176,8.22,0.204,56022.453125
740994.24310017,3740613.27520752,261.81561279,-0.75049,8.28,0.204,56022.453125
740994.23430014,3740613.18151855,261.81781006,-0.75922,8.34,0.204,56022.453125
740994.21159983,3740613.07537842,261.81451416,-0.76794,8.42,0.204,56022.453125
740994.19750023,3740612.97460938,261.81478882,-0.77667,8.49,0.204,56022.453125
740994.19929981,3740612.88531494,261.82159424,-0.7854,8.54,0.21,56022.453125
740994.46299982,3740615.96331787,261.77191162,-0.44506,6.84,0.227,56022.464844
740994.45179987,3740615.8972168,261.77130127,-0.45379,6.87,0.221,56022.464844
740994.45870018,3740615.83721924,261.77841187,-0.46251,6.88,0.227,56022.464844
740994.44859982,3740615.77069092,261.77828979,-0.47124,6.91,0.227,56022.464844
740994.44789982,3740615.70721436,261.78219604,-0.47997,6.93,0.227,56022.464844
740994.43909979,3740615.64007568,261.78271484,-0.48869,6.96,0.227,56022.464844
740994.4222002,3740615.5690918,261.77990723,-0.49742,7.0,0.227,56022.464844
740994.42329979,3740615.50488281,261.78460693,-0.50615,7.02,0.227,56022.464844
740994.41629982,3740615.43688965,261.78601074,-0.51487,7.05,0.227,56022.464844
740994.40990019,3740615.36859131,261.78768921,-0.5236,7.08,0.42,56022.464844
740994.41270018,3740615.30389404,261.79330444,-0.53233,7.1,0.464,56022.464844
740994.37370014,3740615.21929932,261.78131104,-0.54105,7.17,0.282,56022.464844
740994.36089993,3740615.14599609,261.78039551,-0.54978,7.21,0.365,56022.464844
740994.38240004,3740615.08862305,261.79400635,-0.55851,7.21,0.442,56022.464844
740994.35419989,3740615.00628662,261.78659058,-0.56723,7.27,0.276,56022.464844
740994.34350014,3740614.93188477,261.78671265,-0.57596,7.31,0.221,56022.464844
740994.34180021,3740614.86138916,261.79071045,-0.58469,7.34,0.227,56022.464844
