X,Y,Z,Angle,Distance,Retro,UTC
740988.0163002,3740623.78631592,261.82849121,0.74176,7.64,0.243,56023.746094
740987.97369957,3740623.52880859,261.82458496,0.71558,7.47,0.243,56023.746094
740988.0067997,3740624.12548828,261.83990479,0.77667,7.86,0.243,56023.761719
740987.98390007,3740624.04400635,261.834198,0.76794,7.81,0.243,56023.761719
740987.96189976,3740623.96258545,261.82879639,0.75922,7.76,0.243,56023.761719
740987.95199966,3740623.86590576,261.83029175,0.75049,7.69,0.238,56023.761719
740987.93770027,3740623.77722168,261.82910156,0.74176,7.63,0.243,56023.761719
740987.91870022,3740623.69622803,261.82519531,0.73304,7.58,0.243,56023.761719
740987.94550037,3740624.2053833,261.84341431,0.7854,7.91,0.238,56023.773438
740987.92700005,3740624.11602783,261.84030151,0.77667,7.85,0.243,56023.773438
740987.90960026,3740624.02679443,261.83758545,0.76794,7.79,0.243,56023.773438
740987.88780022,3740623.94549561,261.83239746,0.75922,7.74,0.243,56023.773438
740987.87240028,3740623.85662842,261.83068848,0.75049,7.68,0.238,56023.773438
740987.86380005,3740623.76019287,261.83270264,0.74176,7.61,0.238,56023.773438
740987.83930016,3740623.68701172,261.82571411,0.73304,7.57,0.238,56023.773438
740987.86690044,3740624.19628906,261.84359741,0.7854,7.9,0.232,56023.785156
740987.84840012,3740624.10687256,261.84051514,0.77667,7.84,0.238,56023.785156
740987.83110046,3740624.0177002,261.83789063,0.76794,7.78,0.227,56023.785156
740987.80389977,3740623.94421387,261.82949829,0.75922,7.74,0.232,56023.785156
740987.79409981,3740623.84759521,261.83099365,0.75049,7.67,0.232,56023.785156
740987.7798996,3740623.75897217,261.82989502,0.74176,7.61,0.232,56023.785156
740987.76109982,3740623.67822266,261.82598877,0.73304,7.56,0.238,56023.789063
740987.78279972,3740624.19500732,261.84078979,0.7854,7.9,0.227,56023.800781
740987.75899982,3740624.11352539,261.83459473,0.77667,7.85,0.232,56023.800781
740987.74160004,3740624.02416992,261.83200073,0.76794,7.79,0.227,56023.800781
740987.7198,3740623.94287109,261.82669067,0.75922,7.74,0.227,56023.800781
740987.69019985,3740623.76531982,261.82391357,0.74176,7.62,0.238,56023.800781
740987.69260025,3740624.20141602,261.83450317,0.7854,7.91,0.232,56023.8125
740987.67409992,3740624.11199951,261.83139038,0.77667,7.85,0.232,56023.8125
740987.65670013,3740624.02282715,261.82879639,0.76794,7.79,0.238,56023.8125
740987.64039993,3740623.93371582,261.82669067,0.75922,7.73,0.238,56023.8125
740987.61410046,3740624.19238281,261.83401489,0.7854,7.9,0.238,56023.828125
740987.58500004,3740624.11871338,261.82470703,0.77667,7.86,0.249,56023.828125
740987.57299995,3740624.02160645,261.82519531,0.76794,7.79,0.249,56023.828125
740987.5298996,3740624.19091797,261.8302002,0.7854,7.9,0.249,56023.839844
740987.51140022,3740624.10150146,261.82720947,0.77667,7.84,0.249,56023.839844
740987.49950027,3740624.0045166,261.82769775,0.76794,7.77,0.249,56023.839844
740988.46420002,3740624.09228516,261.83270264,0.76794,7.86,0.243,56023.679688
