X,Y,Z,Angle,Distance,Retro,UTC
741026.0177002,3740621.86767578,261.70001221,0.47124,6.35,0.238,56017.652344
741025.98740005,3740621.82171631,261.69171143,0.46251,6.35,0.249,56017.652344
741025.98740005,3740621.75390625,261.69909668,0.45379,6.31,0.232,56017.65625
741025.98060036,3740621.69177246,261.70278931,0.44506,6.28,0.227,56017.65625
741025.96680069,3740621.63500977,261.70300293,0.43633,6.26,0.232,56017.65625
741026.02050018,3740622.22692871,261.69918823,0.5236,6.5,0.249,56017.667969
741025.99440002,3740622.17572021,261.69329834,0.51487,6.49,0.254,56017.667969
741025.97610092,3740622.1184082,261.6914978,0.50615,6.47,0.271,56017.667969
741025.95829964,3740622.06121826,261.68991089,0.49742,6.45,0.287,56017.667969
741025.94829941,3740621.99829102,261.69241333,0.48869,6.42,0.298,56017.667969
741025.92429924,3740621.94677734,261.6875,0.47997,6.41,0.309,56017.667969
741025.91550064,3740621.88409424,261.69039917,0.47124,6.38,0.298,56017.667969
741025.89999962,3740621.8269043,261.68978882,0.46251,6.36,0.271,56017.667969
741025.90740013,3740621.75372314,261.70098877,0.45379,6.31,0.232,56017.667969
741025.90810013,3740621.68621826,261.70858765,0.44506,6.27,0.227,56017.667969
741025.90200043,3740621.62432861,261.71258545,0.43633,6.24,0.227,56017.667969
741026.00790024,3740622.46759033,261.70458984,0.55851,6.6,0.271,56017.679688
741025.98670006,3740622.41040039,261.70150757,0.54978,6.58,0.282,56017.679688
741025.97310066,3740622.34710693,261.70239258,0.54105,6.55,0.293,56017.679688
741025.94599915,3740622.29602051,261.69610596,0.53233,6.54,0.282,56017.679688
741025.94070053,3740622.22680664,261.70120239,0.5236,6.5,0.293,56017.679688
741025.92180061,3740622.16967773,261.69918823,0.51487,6.48,0.304,56017.679688
741025.91069984,3740622.10668945,261.70111084,0.50615,6.45,0.304,56017.679688
741025.89290047,3740622.04962158,261.69949341,0.49742,6.43,0.293,56017.679688
741025.86849976,3740621.99822998,261.69439697,0.48869,6.42,0.304,56017.679688
741025.85180092,3740621.94110107,261.69329834,0.47997,6.4,0.309,56017.679688
741025.84309959,3740621.87841797,261.69628906,0.47124,6.37,0.304,56017.679688
741025.82760048,3740621.82141113,261.69570923,0.46251,6.35,0.271,56017.679688
741025.84250069,3740621.74279785,261.71069336,0.45379,6.29,0.227,56017.679688
741025.83580017,3740621.68078613,261.71450806,0.44506,6.26,0.227,56017.679688
741025.83729935,3740621.6137085,261.72241211,0.43633,6.22,0.238,56017.679688
741026.0109005,3740622.70178223,261.71759033,0.59341,6.69,0.249,56017.691406
741025.98069954,3740622.65118408,261.70980835,0.58469,6.68,0.276,56017.691406
741025.97130013,3740622.58129883,261.71328735,0.57596,6.64,0.276,56017.691406
741025.9489994,3740622.52429199,261.70968628,0.56723,6.62,0.287,56017.695313
741025.92720032,3740622.46722412,261.70629883,0.55851,6.6,0.293,56017.695313
741025.91300011,3740622.40380859,261.70690918,0.54978,6.57,0.293,56017.695313
741025.89240074,3740622.34667969,261.70410156,0.54105,6.55,0.293,56017.695313
741025.87240028,3740622.28948975,261.70150757,0.53233,6.53,0.293,56017.695313
741025.86000061,3740622.22637939,261.70300293,0.5236,6.5,0.293,56017.695313
741025.84830093,3740622.16333008,261.70458984,0.51487,6.47,0.293,56017.695313
741025.83720016,3740622.10040283,261.706604,0.50615,6.44,0.293,56017.695313
741025.81229973,3740622.04919434,261.70129395,0.49742,6.43,0.304,56017.695313
741025.79509926,3740621.99212646,261.69989014,0.48869,6.41,0.309,56017.695313
741025.78580093,3740621.92938232,261.7026062,0.47997,6.38,0.304,56017.695313
741025.76980019,3740621.87237549,261.70181274,0.47124,6.36,0.298,56017.695313
741025.76919937,3740621.80450439,261.70889282,0.46251,6.32,0.249,56017.695313
741025.76939964,3740621.73687744,261.71618652,0.45379,6.28,0.227,56017.695313
741025.75519943,3740621.68029785,261.71609497,0.44506,6.26,0.227,56017.695313
741025.74150085,3740621.6237793,261.71630859,0.43633,6.24,0.249,56017.695313
741026.02479935,3740623.01947021,261.72549438,0.63705,6.84,0.238,56017.707031
741025.99819946,3740622.96258545,261.72000122,0.62832,6.82,0.249,56017.707031
741025.96570015,3740622.91217041,261.71130371,0.61959,6.81,0.271,56017.707031
741025.95330048,3740622.84179688,261.71350098,0.61087,6.77,0.271,56017.707031
741025.93510056,3740622.77807617,261.71240234,0.60214,6.74,0.276,56017.707031
741025.92429924,3740622.70788574,261.71520996,0.59341,6.7,0.276,56017.707031
741025.8939991,3740622.6572876,261.70739746,0.58469,6.69,0.282,56017.707031
741025.8845005,3740622.58728027,261.71078491,0.57596,6.65,0.287,56017.707031
741025.86899948,3740622.52392578,261.71090698,0.56723,6.62,0.293,56017.707031
741025.84729958,3740622.46679688,261.70761108,0.55851,6.6,0.293,56017.707031
741025.83300018,3740622.40338135,261.70819092,0.54978,6.57,0.287,56017.707031
741025.81940079,3740622.34020996,261.70901489,0.54105,6.54,0.298,56017.707031
741025.79940033,3740622.28308105,261.70651245,0.53233,6.52,0.298,56017.707031
741025.78709984,3740622.2199707,261.70788574,0.5236,6.49,0.298,56017.707031
741025.7682991,3740622.1630249,261.7059021,0.51487,6.47,0.293,56017.707031
741025.75720024,3740622.10009766,261.70779419,0.50615,6.44,0.298,56017.707031
741025.73950005,3740622.04309082,261.70629883,0.49742,6.42,0.304,56017.707031
741025.71509933,3740621.99169922,261.70111084,0.48869,6.41,0.304,56017.707031
741025.69849968,3740621.93469238,261.70010376,0.47997,6.39,0.309,56017.707031
741025.68980026,3740621.87207031,261.70300293,0.47124,6.36,0.304,56017.707031
741025.67440033,3740621.81512451,261.70239258,0.46251,6.34,0.265,56017.707031
741025.68190002,3740621.74200439,261.71359253,0.45379,6.29,0.232,56017.707031
741025.67519951,3740621.67999268,261.71740723,0.44506,6.26,0.227,56017.707031
741025.64640045,3740621.63391113,261.70980835,0.43633,6.26,0.254,56017.707031
741026.01910019,3740623.38079834,261.72039795,0.68068,7.05,0.271,56017.71875
741026.00760078,3740623.30249023,261.7237854,0.67195,7.0,0.243,56017.71875
741025.98450089,3740623.23858643,261.72061157,0.66323,6.97,0.249,56017.71875
741025.96209908,3740623.17462158,261.7177124,0.6545,6.94,0.26,56017.71875
741025.94039917,3740623.1105957,261.71508789,0.64577,6.91,0.271,56017.71875
741025.91939926,3740623.04656982,261.71279907,0.63705,6.88,0.282,56017.71875
741025.91200066,3740622.96911621,261.71789551,0.62832,6.83,0.282,56017.71875
741025.8859005,3740622.91210938,261.71270752,0.61959,6.81,0.287,56017.71875
741025.86700058,3740622.84820557,261.71130371,0.61087,6.78,0.287,56017.71875
741025.84210014,3740622.79101563,261.706604,0.60214,6.76,0.282,56017.71875
741025.83110046,3740622.7208252,261.70941162,0.59341,6.72,0.287,56017.71875
741025.81419945,3740622.65710449,261.70889282,0.58469,6.69,0.304,56017.71875
741025.80470085,3740622.58709717,261.71231079,0.57596,6.65,0.304,56017.71875
741025.78919983,3740622.52368164,261.71231079,0.56723,6.62,0.293,56017.71875
741025.76740074,3740622.46661377,261.70901489,0.55851,6.6,0.293,56017.71875
741025.74620056,3740622.40942383,261.7059021,0.54978,6.58,0.298,56017.71875
741025.73259926,3740622.34613037,261.70678711,0.54105,6.55,0.298,56017.71875
741025.71960068,3740622.28289795,261.70788574,0.53233,6.52,0.304,56017.71875
741025.70009995,3740622.22583008,261.70559692,0.5236,6.5,0.293,56017.71875
741025.68840027,3740622.16278076,261.70730591,0.51487,6.47,0.298,56017.71875
741025.6772995,3740622.09991455,261.709198,0.50615,6.44,0.298,56017.71875
741025.64520073,3740622.05438232,261.70010376,0.49742,6.44,0.309,56017.71875
741025.62789917,3740621.99719238,261.6987915,0.48869,6.42,0.309,56017.71875
741025.61860085,3740621.93450928,261.70150757,0.47997,6.39,0.309,56017.722656
741025.60250092,3740621.87738037,261.70071411,0.47124,6.37,0.309,56017.722656
741025.59449959,3740621.81488037,261.70388794,0.46251,6.34,0.26,56017.722656
741025.59449959,3740621.74719238,261.71121216,0.45379,6.3,0.232,56017.722656
741025.59530067,3740621.67980957,261.71881104,0.44506,6.26,0.232,56017.722656
741025.5739994,3740621.628479,261.71508789,0.43633,6.25,0.243,56017.722656
741025.50749969,3740621.60809326,261.68829346,0.42761,6.3,0.343,56017.722656
741025.98220062,3740623.51580811,261.72711182,0.69813,7.12,0.254,56017.730469
741025.95079994,3740623.45892334,261.71951294,0.68941,7.1,0.254,56017.730469
741025.93840027,3740623.38037109,261.72250366,0.68068,7.05,0.26,56017.730469
741025.91449928,3740623.31628418,261.71899414,0.67195,7.02,0.265,56017.734375
741025.89749908,3740623.24517822,261.71920776,0.66323,6.98,0.26,56017.734375
741025.87509918,3740623.18109131,261.71630859,0.6545,6.95,0.271,56017.734375
741025.85969925,3740623.11022949,261.7171936,0.64577,6.91,0.287,56017.734375
741025.83860016,3740623.04620361,261.71490479,0.63705,6.88,0.287,56017.734375
741025.8246994,3740622.9755249,261.71640015,0.62832,6.84,0.287,56017.734375
741025.79859924,3740622.918396,261.71121216,0.61959,6.82,0.287,56017.734375
741025.78619957,3740622.84790039,261.71328735,0.61087,6.78,0.293,56017.734375
741025.76790047,3740622.78411865,261.71218872,0.60214,6.75,0.293,56017.734375
741025.75029945,3740622.72039795,261.71139526,0.59341,6.72,0.298,56017.734375
741025.73340034,3740622.65667725,261.71078491,0.58469,6.69,0.304,56017.734375
741025.71039963,3740622.5994873,261.70700073,0.57596,6.67,0.304,56017.734375
741025.70159912,3740622.52960205,261.71060181,0.56723,6.63,0.298,56017.734375
741025.68659973,3740622.46618652,261.71099854,0.55851,6.6,0.298,56017.734375
741025.66539955,3740622.40899658,261.70788574,0.54978,6.58,0.298,56017.734375
741025.65180016,3740622.34570313,261.70870972,0.54105,6.55,0.304,56017.734375
741025.6317997,3740622.28857422,261.70608521,0.53233,6.53,0.304,56017.734375
741025.61940002,3740622.22540283,261.70748901,0.5236,6.5,0.304,56017.734375
741025.60050011,3740622.16827393,261.70550537,0.51487,6.48,0.304,56017.734375
741025.5821991,3740622.11108398,261.70361328,0.50615,6.46,0.309,56017.734375
741025.56439972,3740622.05401611,261.7020874,0.49742,6.44,0.32,56017.734375
