X,Y,Z,Angle,Distance,Retro,UTC
740994.4513998,3740622.00488281,261.85220337,0.48869,6.81,0.298,56022.628906
740994.44029999,3740621.93927002,261.85140991,0.47997,6.78,0.298,56022.628906
740994.42990017,3740621.8737793,261.85079956,0.47124,6.75,0.298,56022.628906
740994.41270018,3740621.81408691,261.84689331,0.46251,6.73,0.309,56022.628906
740994.40350008,3740621.7487793,261.84689331,0.45379,6.7,0.265,56022.628906
740994.40999985,3740621.67279053,261.85470581,0.44506,6.65,0.243,56022.628906
740994.39470005,3740621.61340332,261.85159302,0.43633,6.63,0.243,56022.628906
740994.46330023,3740622.46600342,261.86569214,0.54978,7.02,0.287,56022.640625
740994.4545002,3740622.39349365,261.86630249,0.54105,6.98,0.304,56022.640625
740994.4394002,3740622.32727051,261.8637085,0.53233,6.95,0.298,56022.640625
740994.42509985,3740622.2612915,261.86138916,0.5236,6.92,0.298,56022.640625
740994.41130018,3740622.1953125,261.85931396,0.51487,6.89,0.287,56022.640625
740994.39830017,3740622.12939453,261.85760498,0.50615,6.86,0.293,56022.640625
740994.38590002,3740622.06359863,261.85620117,0.49742,6.83,0.298,56022.640625
740994.36689997,3740622.00378418,261.85150146,0.48869,6.81,0.293,56022.640625
740994.36320019,3740621.93249512,261.85430908,0.47997,6.77,0.298,56022.640625
740994.34539986,3740621.87280273,261.85009766,0.47124,6.75,0.287,56022.640625
740994.3355999,3740621.80737305,261.84979248,0.46251,6.72,0.293,56022.640625
740994.3190999,3740621.74780273,261.84609985,0.45379,6.7,0.26,56022.640625
740994.32550001,3740621.67169189,261.85391235,0.44506,6.65,0.243,56022.644531
740994.33279991,3740621.59613037,261.86209106,0.43633,6.6,0.249,56022.644531
740994.41699982,3740622.67730713,261.86859131,0.57596,7.13,0.287,56022.65625
740994.4059,3740622.60430908,261.86810303,0.56723,7.09,0.293,56022.65625
740994.39550018,3740622.53137207,261.86810303,0.55851,7.05,0.287,56022.65625
