X,Y,Z,Angle,Distance,Retro,UTC
741023.98690033,3740621.73730469,261.72979736,0.45379,6.3,0.26,56017.988281
741023.97260094,3740621.68060303,261.72970581,0.44506,6.28,0.26,56017.988281
741024.01460075,3740622.14038086,261.73498535,0.51487,6.45,0.32,56018.0
741023.99650002,3740622.08349609,261.73318481,0.50615,6.43,0.315,56018.0
741023.97879982,3740622.02661133,261.7315979,0.49742,6.41,0.315,56018.0
741023.96179962,3740621.96960449,261.73028564,0.48869,6.39,0.309,56018.0
741023.94529915,3740621.91271973,261.72909546,0.47997,6.37,0.309,56018.0
741023.92930031,3740621.85577393,261.728302,0.47124,6.35,0.309,56018.0
741023.92130089,3740621.793396,261.73150635,0.46251,6.32,0.282,56018.0
741023.91399956,3740621.73120117,261.7348938,0.45379,6.29,0.265,56018.0
741023.89970016,3740621.67449951,261.73480225,0.44506,6.27,0.271,56018.0
741023.99839973,3740622.45550537,261.73080444,0.55851,6.6,0.309,56018.011719
741023.99110031,3740622.38598633,261.73510742,0.54978,6.56,0.309,56018.011719
741023.97050095,3740622.32891846,261.73220825,0.54105,6.54,0.315,56018.015625
741023.95759964,3740622.26580811,261.73330688,0.53233,6.51,0.309,56018.015625
741023.94529915,3740622.20281982,261.73471069,0.5236,6.48,0.309,56018.015625
741023.93370056,3740622.13989258,261.73629761,0.51487,6.45,0.315,56018.015625
741023.91559982,3740622.08288574,261.73449707,0.50615,6.43,0.315,56018.015625
741023.89789963,3740622.02600098,261.73291016,0.49742,6.41,0.315,56018.015625
741023.88820076,3740621.96337891,261.7354126,0.48869,6.38,0.315,56018.015625
741023.87170029,3740621.90649414,261.73419189,0.47997,6.36,0.315,56018.015625
741023.84840012,3740621.85522461,261.72961426,0.47124,6.35,0.309,56018.015625
741023.83300018,3740621.79827881,261.72891235,0.46251,6.33,0.282,56018.015625
741023.82559967,3740621.73608398,261.73239136,0.45379,6.3,0.271,56018.015625
741023.81879997,3740621.67401123,261.7361145,0.44506,6.27,0.276,56018.015625
741023.79000092,3740621.62780762,261.72839355,0.43633,6.27,0.298,56018.015625
741024.02389908,3740622.82989502,261.7387085,0.61087,6.77,0.298,56018.027344
741024.01230049,3740622.75958252,261.74121094,0.60214,6.73,0.293,56018.027344
741023.99489975,3740622.69598389,261.74029541,0.59341,6.7,0.298,56018.027344
741023.97139931,3740622.63891602,261.7361145,0.58469,6.68,0.298,56018.027344
741023.96199989,3740622.56896973,261.73950195,0.57596,6.64,0.304,56018.027344
741023.94650078,3740622.50561523,261.73950195,0.56723,6.61,0.304,56018.027344
741023.93169975,3740622.44232178,261.73980713,0.55851,6.58,0.304,56018.027344
741023.90369987,3740622.39147949,261.73300171,0.54978,6.57,0.309,56018.027344
741023.89710045,3740622.32208252,261.73748779,0.54105,6.53,0.315,56018.027344
741023.87719917,3740622.26507568,261.7348938,0.53233,6.51,0.315,56018.027344
741023.86490059,3740622.2020874,261.73629761,0.5236,6.48,0.315,56018.027344
741023.85330009,3740622.13922119,261.73791504,0.51487,6.45,0.315,56018.027344
741023.82789993,3740622.08807373,261.7322998,0.50615,6.44,0.304,56018.027344
741023.81030083,3740622.03112793,261.73071289,0.49742,6.42,0.304,56018.027344
741023.80039978,3740621.96838379,261.73309326,0.48869,6.39,0.304,56018.027344
741023.78389931,3740621.91137695,261.73199463,0.47997,6.37,0.309,56018.027344
741023.77540016,3740621.84899902,261.73498535,0.47124,6.34,0.298,56018.027344
741023.76000023,3740621.79217529,261.73431396,0.46251,6.32,0.265,56018.027344
741023.75259972,3740621.72998047,261.73779297,0.45379,6.29,0.265,56018.027344
741023.73839951,3740621.67327881,261.73760986,0.44506,6.27,0.271,56018.027344
741023.70960045,3740621.6270752,261.73001099,0.43633,6.27,0.293,56018.027344
741024.01670074,3740623.09136963,261.74468994,0.64577,6.9,0.287,56018.039063
741023.99570084,3740623.02752686,261.74230957,0.63705,6.87,0.293,56018.039063
741023.98189926,3740622.95678711,261.74380493,0.62832,6.83,0.293,56018.039063
