X,Y,Z,Angle,Distance,Retro,UTC
741014.0031004,3740621.76409912,261.85751343,0.47124,6.32,0.265,56019.628906
741014.01790047,3740621.61810303,261.87799072,0.45379,6.22,0.227,56019.628906
741014.02000046,3740622.17901611,261.86358643,0.53233,6.49,0.309,56019.640625
741014.00790024,3740622.11608887,261.86428833,0.5236,6.46,0.315,56019.640625
741013.98919964,3740622.0592041,261.86138916,0.51487,6.44,0.309,56019.640625
741013.97119999,3740622.00238037,261.85888672,0.50615,6.42,0.315,56019.640625
741013.96080017,3740621.93969727,261.86029053,0.49742,6.39,0.315,56019.640625
741013.95119953,3740621.87719727,261.86199951,0.48869,6.36,0.315,56019.640625
741013.93480015,3740621.82049561,261.86019897,0.47997,6.34,0.309,56019.640625
741013.91899967,3740621.76379395,261.85861206,0.47124,6.32,0.26,56019.640625
741013.94089985,3740621.67962646,261.87631226,0.46251,6.25,0.227,56019.640625
741013.93379974,3740621.61779785,261.8789978,0.45379,6.22,0.221,56019.640625
741014.02320004,3740622.5579834,261.86700439,0.58469,6.67,0.287,56019.652344
741014.0138998,3740622.48809814,261.86950684,0.57596,6.63,0.293,56019.652344
741013.99849987,3740622.42480469,261.86871338,0.56723,6.6,0.304,56019.652344
741013.9836998,3740622.36157227,261.86819458,0.55851,6.57,0.304,56019.652344
741013.96269989,3740622.3046875,261.86428833,0.54978,6.55,0.309,56019.652344
741013.95619965,3740622.2354126,261.86810303,0.54105,6.51,0.304,56019.652344
741013.94349957,3740622.17248535,261.8684082,0.53233,6.48,0.315,56019.652344
741013.92430019,3740622.11572266,261.86538696,0.5236,6.46,0.309,56019.652344
741013.90559959,3740622.05877686,261.86248779,0.51487,6.44,0.315,56019.65625
741013.90190029,3740621.99017334,261.86740112,0.50615,6.4,0.315,56019.65625
741013.88440037,3740621.93347168,261.8651123,0.49742,6.38,0.309,56019.65625
741013.86750031,3740621.87677002,261.86309814,0.48869,6.36,0.32,56019.65625
741013.8512001,3740621.82012939,261.86120605,0.47997,6.34,0.309,56019.65625
741013.85009956,3740621.75219727,261.8671875,0.47124,6.3,0.249,56019.65625
741013.86470032,3740621.67370605,261.88110352,0.46251,6.24,0.221,56019.65625
741013.85770035,3740621.61199951,261.88391113,0.45379,6.21,0.227,56019.65625
741014.02299976,3740622.88250732,261.87451172,0.62832,6.83,0.293,56019.667969
741014.00349998,3740622.81872559,261.87188721,0.61959,6.8,0.293,56019.667969
741013.99120045,3740622.74829102,261.87319946,0.61087,6.76,0.298,56019.667969
741013.97970009,3740622.67797852,261.87478638,0.60214,6.72,0.293,56019.667969
741013.9623003,3740622.61450195,261.87310791,0.59341,6.69,0.293,56019.667969
741013.94550037,3740622.55102539,261.87179565,0.58469,6.66,0.298,56019.667969
741013.92949963,3740622.48760986,261.87069702,0.57596,6.63,0.309,56019.667969
741013.91409969,3740622.42431641,261.86990356,0.56723,6.6,0.309,56019.667969
741013.90620041,3740622.35479736,261.87298584,0.55851,6.56,0.304,56019.667969
741013.88529968,3740622.2979126,261.86920166,0.54978,6.54,0.309,56019.667969
741013.87180042,3740622.23492432,261.86920166,0.54105,6.51,0.309,56019.667969
741013.85910034,3740622.17199707,261.86959839,0.53233,6.48,0.309,56019.667969
741013.85410023,3740622.10308838,261.87390137,0.5236,6.44,0.315,56019.667969
741013.82839966,3740622.0524292,261.86740112,0.51487,6.43,0.315,56019.667969
741013.81750011,3740621.98968506,261.86859131,0.50615,6.4,0.315,56019.667969
741013.80729961,3740621.92718506,261.86999512,0.49742,6.37,0.315,56019.667969
741013.79039955,3740621.87060547,261.86801147,0.48869,6.35,0.309,56019.667969
741013.78149986,3740621.80828857,261.86990356,0.47997,6.32,0.304,56019.667969
741013.78050041,3740621.74060059,261.87600708,0.47124,6.28,0.238,56019.667969
741013.78030014,3740621.6730957,261.8822937,0.46251,6.24,0.221,56019.667969
