X,Y,Z,Angle,Distance,Retro,UTC
741004.01280022,3740621.8684082,261.87530518,0.48869,6.43,0.304,56021.1875
741004.00330019,3740621.80560303,261.87658691,0.47997,6.4,0.282,56021.1875
741004.00909996,3740621.73162842,261.88580322,0.47124,6.35,0.243,56021.1875
741004.00089979,3740621.66918945,261.88769531,0.46251,6.32,0.221,56021.1875
741003.98600006,3740621.61248779,261.88598633,0.45379,6.3,0.221,56021.1875
741003.97149992,3740622.12109375,261.87469482,0.5236,6.55,0.309,56021.203125
741003.94779992,3740621.99450684,261.87539673,0.50615,6.49,0.304,56021.203125
741003.93700004,3740621.93127441,261.87609863,0.49742,6.46,0.304,56021.203125
741003.92680001,3740621.86828613,261.87710571,0.48869,6.43,0.293,56021.203125
741003.91729999,3740621.80548096,261.87838745,0.47997,6.4,0.271,56021.203125
741003.91569996,3740621.73712158,261.88378906,0.47124,6.36,0.249,56021.203125
741003.9223001,3740621.66351318,261.89318848,0.46251,6.31,0.221,56021.203125
741003.91479993,3740621.60137939,261.89538574,0.45379,6.28,0.227,56021.203125
741003.83290005,3740621.87402344,261.87539673,0.48869,6.44,0.282,56021.214844
741003.82329988,3740621.81109619,261.87658691,0.47997,6.41,0.271,56021.214844
741003.8217001,3740621.74267578,261.88198853,0.47124,6.37,0.249,56021.214844
741003.8282001,3740621.66900635,261.89138794,0.46251,6.32,0.227,56021.214844
741003.82060003,3740621.60681152,261.89358521,0.45379,6.29,0.227,56021.214844
741003.74690008,3740621.87408447,261.87759399,0.48869,6.44,0.276,56021.226563
741003.73000002,3740621.81689453,261.87509155,0.47997,6.42,0.271,56021.226563
741003.7421999,3740621.66912842,261.89358521,0.46251,6.32,0.227,56021.230469
741003.7198,3740621.61779785,261.88809204,0.45379,6.31,0.221,56021.230469
741003.7184,3740622.19049072,261.87750244,0.53233,6.59,0.282,56021.242188
741003.68190002,3740622.00012207,261.87789917,0.50615,6.5,0.276,56021.242188
741003.6638,3740621.94281006,261.87490845,0.49742,6.48,0.282,56021.242188
741003.66070008,3740621.87390137,261.87960815,0.48869,6.44,0.276,56021.242188
741003.64389992,3740621.81671143,261.87710571,0.47997,6.42,0.271,56021.242188
741003.64949989,3740621.74249268,261.88619995,0.47124,6.37,0.249,56021.242188
741003.6487,3740621.67437744,261.89181519,0.46251,6.33,0.221,56021.242188
741003.6336,3740621.61761475,261.8901062,0.45379,6.31,0.221,56021.242188
741003.99889994,3740624.03082275,261.88220215,0.75049,7.65,0.254,56021.253906
741003.62479997,3740622.19641113,261.87548828,0.53233,6.6,0.287,56021.253906
741003.61190009,3740622.1328125,261.87539673,0.5236,6.57,0.293,56021.253906
741003.59960008,3740622.0692749,261.87548828,0.51487,6.54,0.293,56021.253906
741003.58800006,3740622.00592041,261.87588501,0.50615,6.51,0.298,56021.253906
741003.58430004,3740621.93682861,261.88031006,0.49742,6.47,0.298,56021.253906
741003.57410002,3740621.87371826,261.88128662,0.48869,6.44,0.298,56021.253906
741003.55719995,3740621.81652832,261.8788147,0.47997,6.42,0.287,56021.253906
741003.57019997,3740621.73669434,261.89169312,0.47124,6.36,0.243,56021.253906
741003.56200004,3740621.67431641,261.89349365,0.46251,6.33,0.227,56021.253906
741003.54699993,3740621.61749268,261.89181519,0.45379,6.31,0.221,56021.253906
741004.00600004,3740624.01092529,261.92678833,0.75922,7.57,0.243,56021.265625
741003.92420006,3740624.01531982,261.88989258,0.75049,7.63,0.254,56021.265625
741003.57470012,3740622.39422607,261.87561035,0.55851,6.7,0.287,56021.269531
741003.55250001,3740622.2600708,261.87741089,0.54105,6.63,0.293,56021.269531
741003.5388999,3740622.19641113,261.87701416,0.53233,6.6,0.282,56021.269531
741003.52600002,3740622.1328125,261.87680054,0.5236,6.57,0.298,56021.269531
741003.51370001,3740622.06921387,261.87689209,0.51487,6.54,0.293,56021.269531
741003.50209999,3740622.00592041,261.87728882,0.50615,6.51,0.293,56021.269531
741003.49119997,3740621.94262695,261.87799072,0.49742,6.48,0.287,56021.269531
741003.48090005,3740621.87939453,261.8789978,0.48869,6.45,0.276,56021.269531
741003.47129989,3740621.81652832,261.88018799,0.47997,6.42,0.265,56021.269531
741003.46959996,3740621.74798584,261.88549805,0.47124,6.38,0.243,56021.269531
741003.46869993,3740621.67980957,261.89111328,0.46251,6.34,0.221,56021.269531
741003.99530005,3740624.01300049,261.96209717,0.76794,7.52,0.243,56021.28125
741003.91939998,3740624.01068115,261.92840576,0.75922,7.57,0.243,56021.28125
741003.83200002,3740624.02282715,261.88830566,0.75049,7.64,0.276,56021.28125
741003.90939999,3740624.01281738,261.96389771,0.76794,7.52,0.243,56021.292969
741003.81690001,3740624.03381348,261.92080688,0.75922,7.6,0.276,56021.292969
741003.7572,3740624.00732422,261.89639282,0.75049,7.62,0.238,56021.292969
741003.80730009,3740624.03619385,261.95639038,0.76794,7.55,0.287,56021.304688
741003.74769998,3740624.01049805,261.93209839,0.75922,7.57,0.232,56021.304688
741003.67140007,3740624.00732422,261.89828491,0.75049,7.62,0.243,56021.304688
741003.73169994,3740624.02050781,261.96450806,0.76794,7.53,0.238,56021.320313
741003.66120005,3740624.01037598,261.93389893,0.75922,7.57,0.232,56021.320313
741003.57380009,3740624.02252197,261.89389038,0.75049,7.64,0.254,56021.320313
741003.64030004,3740624.02807617,261.96289063,0.76794,7.54,0.254,56021.332031
741003.5697,3740624.01800537,261.93231201,0.75922,7.58,0.249,56021.332031
741003.48230004,3740624.0300293,261.89230347,0.75049,7.65,0.287,56021.332031
741003.5545001,3740624.02801514,261.96459961,0.76794,7.54,0.26,56021.347656
741003.47839999,3740624.02557373,261.93099976,0.75922,7.59,0.271,56021.347656
741003.46799994,3740624.02789307,261.96661377,0.76794,7.54,0.293,56021.359375
