X,Y,Z,Angle,Distance,Retro,UTC
741035.70439911,3740621.59619141,261.59561157,0.42761,6.13,0.354,56016.015625
741035.63290024,3740621.65588379,261.59249878,0.43633,6.16,0.26,56016.027344
741036.00680161,3740623.37408447,261.58920288,0.68068,6.94,0.271,56016.039063
741035.98949814,3740623.30371094,261.58990479,0.67195,6.9,0.276,56016.039063
741035.97299957,3740623.23339844,261.59091187,0.66323,6.86,0.282,56016.039063
741035.92969894,3740623.10687256,261.58679199,0.64577,6.8,0.287,56016.039063
741035.89550018,3740622.97369385,261.58740234,0.62832,6.73,0.293,56016.039063
741036.0182991,3740623.64068604,261.59820557,0.71558,7.08,0.26,56016.050781
741035.99200058,3740623.57727051,261.59408569,0.70686,7.05,0.26,56016.050781
741035.97829819,3740623.49938965,261.59719849,0.69813,7.0,0.271,56016.050781
741035.95349884,3740623.43609619,261.59368896,0.68941,6.97,0.265,56016.050781
741035.9355011,3740623.36560059,261.59408569,0.68068,6.93,0.271,56016.050781
741035.91830063,3740623.29522705,261.59469604,0.67195,6.89,0.276,56016.050781
741035.89559937,3740623.23187256,261.5921936,0.66323,6.86,0.282,56016.050781
741035.87369919,3740623.16870117,261.58999634,0.6545,6.83,0.287,56016.050781
741035.85240173,3740623.10540771,261.58810425,0.64577,6.8,0.287,56016.050781
741035.81819916,3740622.97229004,261.5887146,0.62832,6.73,0.287,56016.050781
741035.79899979,3740622.90917969,261.58770752,0.61959,6.7,0.287,56016.050781
741035.69779968,3740622.53167725,261.58758545,0.56723,6.52,0.26,56016.054688
741036.01290131,3740623.84411621,261.60690308,0.74176,7.19,0.254,56016.066406
741035.98450089,3740623.78082275,261.60189819,0.73304,7.16,0.249,56016.066406
741035.95669937,3740623.71740723,261.59710693,0.72431,7.13,0.254,56016.066406
741035.94710159,3740623.6317749,261.60290527,0.71558,7.07,0.26,56016.066406
741035.92089844,3740623.56848145,261.5987854,0.70686,7.04,0.271,56016.066406
741035.90140152,3740623.4979248,261.59851074,0.69813,7.0,0.265,56016.066406
741035.87659836,3740623.43450928,261.59500122,0.68941,6.97,0.265,56016.066406
741035.85850143,3740623.36401367,261.59539795,0.68068,6.93,0.271,56016.066406
741035.83520126,3740623.30072021,261.59249878,0.67195,6.9,0.282,56016.066406
741035.81869888,3740623.23040771,261.59350586,0.66323,6.86,0.282,56016.066406
741035.8030014,3740623.16021729,261.5947876,0.6545,6.82,0.271,56016.066406
741035.77550125,3740623.10388184,261.58938599,0.64577,6.8,0.271,56016.066406
741035.76129913,3740623.03381348,261.59130859,0.63705,6.76,0.271,56016.066406
741035.74140167,3740622.97070313,261.58999634,0.62832,6.73,0.265,56016.066406
741035.72219849,3740622.90759277,261.58898926,0.61959,6.7,0.276,56016.066406
741035.6753006,3740622.71209717,261.59130859,0.59341,6.6,0.243,56016.066406
741035.98139954,3740624.09411621,261.5993042,0.76794,7.36,0.254,56016.078125
741035.97800064,3740623.99230957,261.60958862,0.75922,7.28,0.238,56016.078125
741035.96469879,3740623.90612793,261.61380005,0.75049,7.22,0.243,56016.078125
741035.92990112,3740623.85040283,261.60510254,0.74176,7.2,0.254,56016.078125
741035.91289902,3740623.77209473,261.60668945,0.73304,7.15,0.249,56016.078125
741035.89089966,3740623.70129395,261.60540771,0.72431,7.11,0.26,56016.078125
741035.86399841,3740623.63787842,261.60101318,0.71558,7.08,0.26,56016.078125
741035.83769989,3740623.57458496,261.59689331,0.70686,7.05,0.26,56016.078125
741035.81809998,3740623.50390625,261.59649658,0.69813,7.01,0.26,56016.078125
741035.80530167,3740623.42608643,261.6000061,0.68941,6.96,0.271,56016.078125
741035.78129959,3740623.36279297,261.59680176,0.68068,6.93,0.265,56016.078125
741035.75790024,3740623.29949951,261.59399414,0.67195,6.9,0.293,56016.078125
741035.74150085,3740623.22912598,261.59500122,0.66323,6.86,0.26,56016.078125
741035.73830032,3740623.14501953,261.60339355,0.6545,6.8,0.243,56016.078125
