X,Y,Z,Angle,Distance,Retro,UTC
741027.02490044,3740622.11749268,261.67138672,0.50615,6.46,0.309,56017.492188
741026.92860031,3740621.63970947,261.68121338,0.43633,6.26,0.221,56017.496094
741027.02140045,3740622.42120361,261.67379761,0.54978,6.59,0.309,56017.507813
741027.00769997,3740622.35778809,261.67459106,0.54105,6.56,0.309,56017.507813
741026.98060036,3740622.30657959,261.66830444,0.53233,6.55,0.309,56017.507813
741026.97520065,3740622.23730469,261.67349243,0.5236,6.51,0.315,56017.507813
741026.88430023,3740621.74737549,261.68688965,0.45379,6.29,0.232,56017.507813
741026.87010002,3740621.69067383,261.6867981,0.44506,6.27,0.227,56017.507813
741026.85639954,3740621.63397217,261.68701172,0.43633,6.25,0.232,56017.507813
741027.00250053,3740622.67541504,261.67520142,0.58469,6.71,0.304,56017.519531
741026.98609924,3740622.61169434,261.67489624,0.57596,6.68,0.304,56017.519531
741026.97050095,3740622.5480957,261.67489624,0.56723,6.65,0.304,56017.519531
741026.95549965,3740622.48449707,261.67529297,0.55851,6.62,0.304,56017.519531
741026.93420029,3740622.42718506,261.67221069,0.54978,6.6,0.309,56017.519531
741026.92740059,3740622.35760498,261.67669678,0.54105,6.56,0.309,56017.519531
741026.90029907,3740622.30639648,261.67041016,0.53233,6.55,0.309,56017.519531
741026.78899956,3740621.82580566,261.67388916,0.46251,6.35,0.271,56017.519531
741026.81150055,3740621.74182129,261.69281006,0.45379,6.28,0.227,56017.519531
741026.78219986,3740621.69580078,261.68499756,0.44506,6.28,0.227,56017.519531
741026.76849937,3740621.63909912,261.68521118,0.43633,6.26,0.227,56017.519531
741026.70960045,3740621.61352539,261.66220093,0.42761,6.3,0.343,56017.519531
741027.01420021,3740622.99432373,261.68270874,0.62832,6.86,0.298,56017.53125
741026.99449921,3740622.93029785,261.68099976,0.61959,6.83,0.304,56017.53125
741026.97550011,3740622.86639404,261.67959595,0.61087,6.8,0.304,56017.53125
741026.95709991,3740622.80249023,261.67849731,0.60214,6.77,0.298,56017.53125
741026.93950081,3740622.73858643,261.6776123,0.59341,6.74,0.309,56017.53125
741026.92239952,3740622.67480469,261.67709351,0.58469,6.71,0.309,56017.53125
741026.90609932,3740622.61108398,261.67678833,0.57596,6.68,0.298,56017.53125
741026.89039993,3740622.54748535,261.6769104,0.56723,6.65,0.304,56017.535156
741026.88229942,3740622.47772217,261.6809082,0.55851,6.61,0.304,56017.535156
741026.85409927,3740622.42657471,261.67410278,0.54978,6.6,0.304,56017.535156
741026.8404007,3740622.36322021,261.67489624,0.54105,6.57,0.309,56017.535156
741026.72450066,3740621.88220215,261.6763916,0.47124,6.37,0.304,56017.535156
741026.70899963,3740621.82519531,261.67581177,0.46251,6.35,0.271,56017.535156
741026.72400093,3740621.74658203,261.6907959,0.45379,6.29,0.227,56017.535156
741026.70219994,3740621.69519043,261.68688965,0.44506,6.28,0.221,56017.535156
741026.68849945,3740621.63848877,261.68701172,0.43633,6.26,0.227,56017.535156
741026.62960052,3740621.61291504,261.66409302,0.42761,6.3,0.32,56017.535156
741027.02459908,3740623.33532715,261.68719482,0.67195,7.04,0.298,56017.546875
741027.00749969,3740623.26409912,261.6875,0.66323,7.0,0.298,56017.546875
741026.98500061,3740623.19989014,261.68450928,0.6545,6.97,0.304,56017.546875
741026.96940041,3740623.12878418,261.68539429,0.64577,6.93,0.304,56017.546875
741026.95470047,3740623.05792236,261.68661499,0.63705,6.89,0.304,56017.546875
741026.93429947,3740622.99389648,261.68460083,0.62832,6.86,0.304,56017.546875
741026.91460037,3740622.92987061,261.68289185,0.61959,6.83,0.304,56017.546875
741026.88899994,3740622.87261963,261.67788696,0.61087,6.81,0.304,56017.546875
741026.87719917,3740622.80200195,261.6803894,0.60214,6.77,0.304,56017.546875
741026.85960007,3740622.73822021,261.67959595,0.59341,6.74,0.309,56017.546875
741026.84250069,3740622.67437744,261.6789856,0.58469,6.71,0.309,56017.546875
741026.82620049,3740622.61071777,261.67880249,0.57596,6.68,0.304,56017.546875
741026.80369949,3740622.55328369,261.67510986,0.56723,6.66,0.304,56017.546875
741026.80240059,3740622.47717285,261.68280029,0.55851,6.61,0.304,56017.546875
741026.67000008,3740622.00158691,261.6763916,0.48869,6.42,0.304,56017.546875
741026.64599991,3740621.95007324,261.67150879,0.47997,6.41,0.304,56017.546875
741026.64459991,3740621.8817749,261.67831421,0.47124,6.37,0.298,56017.546875
741026.6291008,3740621.82470703,261.67770386,0.46251,6.35,0.271,56017.546875
741026.63660049,3740621.75152588,261.68890381,0.45379,6.3,0.227,56017.546875
741026.62229919,3740621.69482422,261.68881226,0.44506,6.28,0.221,56017.546875
741026.60860062,3740621.63800049,261.68899536,0.43633,6.26,0.221,56017.546875
741026.54969978,3740621.61242676,261.66598511,0.42761,6.3,0.309,56017.546875
741027.00629997,3740623.54211426,261.69378662,0.69813,7.15,0.276,56017.558594
741026.98080063,3740623.4777832,261.68960571,0.68941,7.12,0.282,56017.558594
741026.96220016,3740623.40637207,261.68908691,0.68068,7.08,0.287,56017.558594
741026.9442997,3740623.33502197,261.68899536,0.67195,7.04,0.304,56017.558594
741026.92099953,3740623.27081299,261.68569946,0.66323,7.01,0.293,56017.558594
741026.90469933,3740623.19958496,261.68630981,0.6545,6.97,0.304,56017.558594
741026.88279915,3740623.13537598,261.6836853,0.64577,6.94,0.304,56017.558594
741026.86800003,3740623.06439209,261.68481445,0.63705,6.9,0.304,56017.558594
741026.84760094,3740623.00030518,261.68280029,0.62832,6.87,0.309,56017.558594
741026.82780075,3740622.9362793,261.68109131,0.61959,6.84,0.304,56017.558594
741026.81529999,3740622.86560059,261.68328857,0.61087,6.8,0.298,56017.558594
741026.7968998,3740622.80169678,261.68209839,0.60214,6.77,0.304,56017.558594
741026.77260017,3740622.74438477,261.67770386,0.59341,6.75,0.309,56017.558594
741026.7621994,3740622.67407227,261.68078613,0.58469,6.71,0.304,56017.558594
741026.7390995,3740622.61669922,261.6769104,0.57596,6.69,0.293,56017.558594
741026.72340012,3740622.55297852,261.6769104,0.56723,6.66,0.304,56017.558594
741026.59959984,3740622.06420898,261.6756897,0.49742,6.45,0.315,56017.5625
741026.58230019,3740622.00689697,261.67428589,0.48869,6.43,0.309,56017.5625
741026.58029938,3740621.93847656,261.6809082,0.47997,6.39,0.304,56017.5625
741026.55690002,3740621.88702393,261.6762085,0.47124,6.38,0.298,56017.5625
741026.54870033,3740621.82440186,261.67941284,0.46251,6.35,0.271,56017.5625
741026.55620003,3740621.7512207,261.69061279,0.45379,6.3,0.221,56017.5625
741026.54190063,3740621.69439697,261.69061279,0.44506,6.28,0.221,56017.5625
741026.52059937,3740621.64300537,261.6867981,0.43633,6.27,0.221,56017.5625
741026.4769001,3740621.60687256,261.67160034,0.42761,6.29,0.331,56017.5625
741027.01210022,3740623.82818604,261.70220947,0.73304,7.31,0.254,56017.570313
741026.98940086,3740623.75646973,261.70010376,0.72431,7.27,0.271,56017.570313
741026.96170044,3740623.69207764,261.69488525,0.71558,7.24,0.271,56017.570313
741026.94650078,3740623.61309814,261.69668579,0.70686,7.19,0.282,56017.570313
741026.92029953,3740623.54882813,261.69219971,0.69813,7.16,0.276,56017.570313
741026.9008007,3740623.47729492,261.69140625,0.68941,7.12,0.282,56017.570313
741026.88209915,3740623.40582275,261.69088745,0.68068,7.08,0.298,56017.574219
741026.85810089,3740623.3414917,261.68728638,0.67195,7.05,0.298,56017.574219
741026.84090042,3740623.27020264,261.6875,0.66323,7.01,0.298,56017.574219
741026.82460022,3740623.19897461,261.68811035,0.6545,6.97,0.304,56017.574219
741026.79640007,3740623.14172363,261.68188477,0.64577,6.95,0.309,56017.574219
741026.78160095,3740623.07067871,261.68310547,0.63705,6.91,0.304,56017.574219
741026.76110077,3740623.00646973,261.68109131,0.62832,6.88,0.304,56017.574219
741026.74780083,3740622.93572998,261.68289185,0.61959,6.84,0.304,56017.574219
741026.7220993,3740622.87841797,261.67788696,0.61087,6.82,0.304,56017.574219
741026.71030045,3740622.80767822,261.68029785,0.60214,6.78,0.309,56017.574219
741026.69249916,3740622.74377441,261.67950439,0.59341,6.75,0.309,56017.574219
741026.67539978,3740622.67999268,261.67889404,0.58469,6.72,0.304,56017.574219
741026.53019905,3740622.12670898,261.67529297,0.50615,6.48,0.304,56017.574219
741026.51959991,3740622.06359863,261.67749023,0.49742,6.45,0.309,56017.574219
741026.50230026,3740622.00640869,261.67608643,0.48869,6.43,0.32,56017.574219
741026.48559952,3740621.94921875,261.67498779,0.47997,6.41,0.309,56017.574219
741026.48419952,3740621.88092041,261.68179321,0.47124,6.37,0.304,56017.574219
741026.46870041,3740621.82391357,261.68121338,0.46251,6.35,0.276,56017.574219
741026.4762001,3740621.75067139,261.69241333,0.45379,6.3,0.227,56017.574219
741027.01409912,3740624.13830566,261.70669556,0.76794,7.5,0.232,56017.585938
741026.99909973,3740624.05102539,261.70950317,0.75922,7.44,0.232,56017.585938
741026.97389984,3740623.97912598,261.70620728,0.75049,7.4,0.232,56017.585938
741026.96080017,3740623.89208984,261.7098999,0.74176,7.34,0.232,56017.585938
741026.92589951,3740623.83532715,261.70071411,0.73304,7.32,0.254,56017.585938
741026.9090004,3740623.75610352,261.70181274,0.72431,7.27,0.271,56017.585938
741026.88710022,3740623.68438721,261.70001221,0.71558,7.23,0.282,56017.585938
741026.86009979,3740623.62011719,261.69519043,0.70686,7.2,0.282,56017.585938
741026.8458004,3740623.54119873,261.6973877,0.69813,7.15,0.282,56017.585938
741026.82640076,3740623.46972656,261.69659424,0.68941,7.11,0.276,56017.585938
741026.80780029,3740623.39831543,261.69610596,0.68068,7.07,0.298,56017.585938
741026.78380013,3740623.33410645,261.69259644,0.67195,7.04,0.304,56017.585938
741026.76670074,3740623.26281738,261.69281006,0.66323,7.0,0.298,56017.585938
741026.74419975,3740623.19873047,261.68991089,0.6545,6.97,0.304,56017.585938
741026.72229958,3740623.13452148,261.68719482,0.64577,6.94,0.309,56017.585938
741026.7010994,3740623.0703125,261.68490601,0.63705,6.91,0.309,56017.585938
741026.68709946,3740622.99938965,261.68640137,0.62832,6.87,0.304,56017.585938
741026.66729927,3740622.9354248,261.68469238,0.61959,6.84,0.304,56017.585938
741026.65480042,3740622.86468506,261.6867981,0.61087,6.8,0.304,56017.585938
741026.63640022,3740622.80078125,261.68569946,0.60214,6.77,0.304,56017.585938
741026.61879921,3740622.73699951,261.68490601,0.59341,6.74,0.315,56017.585938
741026.4871006,3740622.24090576,261.68099976,0.5236,6.52,0.304,56017.585938
741026.47529984,3740622.17767334,261.68270874,0.51487,6.49,0.32,56017.585938
741026.96249962,3740624.32122803,261.70129395,0.7854,7.63,0.238,56017.597656
741026.93980026,3740624.24121094,261.70001221,0.77667,7.58,0.238,56017.597656
741026.92900085,3740624.14581299,261.70550537,0.76794,7.51,0.238,56017.597656
741026.9083004,3740624.06610107,261.70498657,0.75922,7.46,0.238,56017.597656
741026.89419937,3740623.9788208,261.70819092,0.75049,7.4,0.232,56017.597656
741026.88120079,3740623.89190674,261.71191406,0.74176,7.34,0.238,56017.597656
741026.84630013,3740623.83508301,261.70269775,0.73304,7.32,0.254,56017.597656
741026.82929993,3740623.75592041,261.70379639,0.72431,7.27,0.271,56017.597656
741026.80739975,3740623.6842041,261.70199585,0.71558,7.23,0.282,56017.597656
741026.78639984,3740623.61248779,261.70050049,0.70686,7.19,0.282,56017.597656
741026.76609993,3740623.54101563,261.69940186,0.69813,7.15,0.276,56017.597656
741026.74670029,3740623.46948242,261.6986084,0.68941,7.11,0.282,56017.597656
741026.72200012,3740623.4052124,261.69470215,0.68068,7.08,0.293,56017.597656
741026.69790077,3740623.34088135,261.69110107,0.67195,7.05,0.298,56017.597656
741026.68700027,3740623.26257324,261.6947937,0.66323,7.0,0.298,56017.597656
741026.66449928,3740623.19842529,261.69189453,0.6545,6.97,0.304,56017.597656
741026.64259911,3740623.13427734,261.68920898,0.64577,6.94,0.304,56017.597656
741026.62779999,3740623.06329346,261.69039917,0.63705,6.9,0.309,56017.597656
741026.61380005,3740622.99237061,261.69189453,0.62832,6.86,0.304,56017.597656
741026.58760071,3740622.93511963,261.68670654,0.61959,6.84,0.304,56017.597656
741026.57509995,3740622.86450195,261.68881226,0.61087,6.8,0.298,56017.601563
741026.88769913,3740624.31292725,261.706604,0.7854,7.62,0.238,56017.613281
741026.87050056,3740624.22509766,261.70849609,0.77667,7.56,0.238,56017.613281
741026.85429955,3740624.13751221,261.71078491,0.76794,7.5,0.238,56017.613281
741026.83919907,3740624.0501709,261.71359253,0.75922,7.44,0.238,56017.613281
741026.81399918,3740623.97827148,261.71029663,0.75049,7.4,0.232,56017.613281
741026.8010006,3740623.89129639,261.71398926,0.74176,7.34,0.238,56017.613281
741026.77179909,3740623.8270874,261.70809937,0.73304,7.31,0.26,56017.613281
741026.74909973,3740623.75531006,261.7059021,0.72431,7.27,0.271,56017.613281
741026.72730064,3740623.68359375,261.70410156,0.71558,7.23,0.271,56017.613281
741026.71209908,3740623.60467529,261.70599365,0.70686,7.18,0.276,56017.613281
741026.68600082,3740623.54040527,261.70150757,0.69813,7.15,0.276,56017.613281
741026.66049957,3740623.47607422,261.69729614,0.68941,7.12,0.282,56017.613281
741026.64179993,3740623.40472412,261.69680786,0.68068,7.08,0.287,56017.613281
741026.63010025,3740623.32617188,261.70010376,0.67195,7.03,0.293,56017.613281
741026.61310005,3740623.25512695,261.70028687,0.66323,6.99,0.298,56017.613281
741026.59059906,3740623.19091797,261.6973877,0.6545,6.96,0.304,56017.613281
741026.57509995,3740623.11987305,261.69830322,0.64577,6.92,0.304,56017.613281
741026.54770088,3740623.06268311,261.69250488,0.63705,6.9,0.309,56017.613281
741026.53370094,3740622.99188232,261.69400024,0.62832,6.86,0.304,56017.613281
741026.51399994,3740622.92791748,261.69229126,0.61959,6.83,0.304,56017.613281
741026.80719948,3740624.31237793,261.70831299,0.7854,7.62,0.243,56017.625
741026.79000092,3740624.22467041,261.71020508,0.77667,7.56,0.243,56017.625
741026.7737999,3740624.13708496,261.7124939,0.76794,7.5,0.243,56017.625
741026.75320053,3740624.05749512,261.71200562,0.75922,7.45,0.238,56017.625
741026.73920059,3740623.97027588,261.71520996,0.75049,7.39,0.232,56017.625
741026.7262001,3740623.88342285,261.71890259,0.74176,7.33,0.232,56017.625
741026.69129944,3740623.82672119,261.70980835,0.73304,7.31,0.249,56017.625
