X,Y,Z,Angle,Distance,Retro,UTC
741040.01810074,3740621.60430908,261.50021362,0.41015,6.2,0.354,56015.242188
741040.0135994,3740621.88623047,261.49841309,0.45379,6.3,0.309,56015.253906
741040.01309967,3740621.81878662,261.50610352,0.44506,6.26,0.254,56015.253906
741039.99100113,3740621.7678833,261.50228882,0.43633,6.25,0.254,56015.253906
741039.96179962,3740621.722229,261.49490356,0.42761,6.25,0.26,56015.253906
741039.94800186,3740621.66571045,261.49551392,0.41888,6.23,0.331,56015.253906
741039.93479919,3740621.60931396,261.49639893,0.41015,6.21,0.331,56015.253906
741040.0155983,3740622.17462158,261.49850464,0.49742,6.41,0.309,56015.265625
741040.00460052,3740622.11212158,261.50109863,0.48869,6.38,0.309,56015.265625
741039.98709869,3740622.05560303,261.50009155,0.47997,6.36,0.309,56015.265625
741039.97019958,3740621.99902344,261.4992981,0.47124,6.34,0.309,56015.265625
741039.96110153,3740621.93688965,261.50259399,0.46251,6.31,0.32,56015.265625
741039.94530106,3740621.88049316,261.50228882,0.45379,6.29,0.32,56015.265625
741039.92259979,3740621.82952881,261.49829102,0.44506,6.28,0.26,56015.265625
741039.90039825,3740621.77838135,261.49459839,0.43633,6.27,0.26,56015.265625
741039.89360046,3740621.71661377,261.49890137,0.42761,6.24,0.271,56015.265625
741039.8647995,3740621.67071533,261.49160767,0.41888,6.24,0.315,56015.265625
741039.84400177,3740621.61938477,261.48849487,0.41015,6.23,0.331,56015.265625
741040.01720047,3740622.40081787,261.50619507,0.53233,6.49,0.298,56015.28125
741039.99689865,3740622.34417725,261.50390625,0.5236,6.47,0.298,56015.28125
741039.98419952,3740622.28161621,261.50570679,0.51487,6.44,0.298,56015.28125
741039.96509933,3740622.22509766,261.50390625,0.50615,6.42,0.298,56015.28125
741039.94649887,3740622.1685791,261.50241089,0.49742,6.4,0.298,56015.28125
741039.93560028,3740622.10620117,261.50500488,0.48869,6.37,0.309,56015.28125
741039.9109993,3740622.05548096,261.50009155,0.47997,6.36,0.309,56015.28125
741039.90129852,3740621.9932251,261.50320435,0.47124,6.33,0.315,56015.28125
741039.88499832,3740621.93682861,261.50268555,0.46251,6.31,0.32,56015.28125
741039.85440063,3740621.89141846,261.49459839,0.45379,6.31,0.309,56015.28125
741039.86130142,3740621.81842041,261.50619507,0.44506,6.26,0.249,56015.28125
741039.84669876,3740621.76208496,261.50640869,0.43633,6.24,0.249,56015.28125
741039.82500076,3740621.71118164,261.50289917,0.42761,6.23,0.254,56015.28125
741039.7887001,3740621.67047119,261.49179077,0.41888,6.24,0.293,56015.28125
741039.76789856,3740621.61920166,261.4887085,0.41015,6.23,0.309,56015.28125
741040.01449966,3740622.63922119,261.5105896,0.56723,6.59,0.304,56015.292969
741040.00540161,3740622.57000732,261.51480103,0.55851,6.55,0.298,56015.292969
741039.98350143,3740622.51348877,261.5118103,0.54978,6.53,0.298,56015.292969
741039.96900177,3740622.45080566,261.51278687,0.54105,6.5,0.298,56015.292969
741039.94820023,3740622.39428711,261.51031494,0.53233,6.48,0.298,56015.292969
741039.9280014,3740622.33789063,261.50808716,0.5236,6.46,0.298,56015.292969
741039.90829849,3740622.28131104,261.50610352,0.51487,6.44,0.304,56015.292969
741039.8891983,3740622.22479248,261.50430298,0.50615,6.42,0.298,56015.292969
741039.87779999,3740622.16241455,261.50671387,0.49742,6.39,0.298,56015.292969
741039.85979843,3740622.105896,261.50540161,0.48869,6.37,0.309,56015.292969
741039.8423996,3740622.04937744,261.50439453,0.47997,6.35,0.304,56015.292969
741039.81819916,3740621.99859619,261.49978638,0.47124,6.34,0.309,56015.292969
741039.80920029,3740621.93652344,261.50311279,0.46251,6.31,0.32,56015.292969
741039.79339981,3740621.88000488,261.50280762,0.45379,6.29,0.304,56015.292969
741039.78549957,3740621.81811523,261.50671387,0.44506,6.26,0.26,56015.292969
741039.76340103,3740621.76721191,261.50299072,0.43633,6.25,0.249,56015.292969
741039.75680161,3740621.70550537,261.5072937,0.42761,6.22,0.249,56015.292969
741039.71300125,3740621.67022705,261.49230957,0.41888,6.24,0.309,56015.292969
741039.69210052,3740621.61889648,261.48919678,0.41015,6.23,0.331,56015.292969
741040.02119827,3740622.87768555,261.51959229,0.60214,6.69,0.293,56015.304688
741040.00289917,3740622.81469727,261.51901245,0.59341,6.66,0.298,56015.304688
741039.98519897,3740622.75170898,261.51858521,0.58469,6.63,0.298,56015.304688
741039.9681015,3740622.68878174,261.51849365,0.57596,6.6,0.304,56015.304688
741039.94509888,3740622.63238525,261.51501465,0.56723,6.58,0.304,56015.304688
741039.9292984,3740622.56958008,261.51550293,0.55851,6.55,0.298,56015.304688
741039.90739822,3740622.51312256,261.51251221,0.54978,6.53,0.298,56015.304688
741039.88600159,3740622.456604,261.50970459,0.54105,6.51,0.304,56015.304688
741039.87210083,3740622.3939209,261.51098633,0.53233,6.48,0.304,56015.304688
741039.85189819,3740622.33740234,261.50878906,0.5236,6.46,0.298,56015.304688
741039.83929825,3740622.27490234,261.5105896,0.51487,6.43,0.304,56015.304688
741039.8132019,3740622.22442627,261.50509644,0.50615,6.42,0.298,56015.304688
741039.79460144,3740622.16778564,261.50360107,0.49742,6.4,0.293,56015.304688
741039.77659988,3740622.11120605,261.50228882,0.48869,6.38,0.309,56015.304688
741039.75910187,3740622.0546875,261.50131226,0.47997,6.36,0.309,56015.304688
741039.74950027,3740621.99249268,261.50439453,0.47124,6.33,0.309,56015.308594
741039.73320007,3740621.93597412,261.50390625,0.46251,6.31,0.32,56015.308594
741039.70999908,3740621.8850708,261.49969482,0.45379,6.3,0.304,56015.308594
741039.72439957,3740621.80682373,261.51528931,0.44506,6.24,0.238,56015.308594
741039.7098999,3740621.75061035,261.51550293,0.43633,6.22,0.238,56015.308594
741039.68090057,3740621.70501709,261.50808716,0.42761,6.22,0.243,56015.308594
741039.65219879,3740621.65930176,261.50088501,0.41888,6.22,0.315,56015.308594
741039.62379837,3740621.61322021,261.49389648,0.41015,6.22,0.331,56015.308594
741040.0102005,3740623.05999756,261.52740479,0.62832,6.77,0.293,56015.320313
741039.98989868,3740622.99688721,261.52590942,0.61959,6.74,0.293,56015.320313
741039.97669983,3740622.92712402,261.52828979,0.61087,6.7,0.293,56015.320313
741039.95130157,3740622.87091064,261.52380371,0.60214,6.68,0.304,56015.320313
741039.92639923,3740622.81451416,261.51950073,0.59341,6.66,0.304,56015.320313
741039.91540146,3740622.74499512,261.52279663,0.58469,6.62,0.304,56015.320313
741039.89170074,3740622.6887207,261.51901245,0.57596,6.6,0.304,56015.320313
