X,Y,Z,Angle,Distance,Retro,UTC
741033.0182991,3740622.24041748,261.60391235,0.5236,6.46,0.32,56016.492188
741033.01499939,3740622.54901123,261.60290527,0.56723,6.6,0.309,56016.507813
741033.00709915,3740622.47961426,261.60720825,0.55851,6.56,0.315,56016.507813
741032.98609924,3740622.42272949,261.60440063,0.54978,6.54,0.32,56016.507813
741032.97269821,3740622.35961914,261.60571289,0.54105,6.51,0.315,56016.507813
741032.95289993,3740622.30279541,261.60339355,0.53233,6.49,0.32,56016.507813
741032.94070053,3740622.2399292,261.60510254,0.5236,6.46,0.26,56016.507813
741033.01580048,3740622.78930664,261.61199951,0.60214,6.7,0.309,56016.519531
741032.9917984,3740622.73242188,261.60791016,0.59341,6.68,0.309,56016.519531
741032.97510147,3740622.66900635,261.60769653,0.58469,6.65,0.315,56016.519531
741032.95909882,3740622.60571289,261.60778809,0.57596,6.62,0.309,56016.519531
741032.95050049,3740622.53607178,261.61178589,0.56723,6.58,0.315,56016.519531
741032.92900085,3740622.47930908,261.60879517,0.55851,6.56,0.32,56016.519531
741032.91500092,3740622.41619873,261.60980225,0.54978,6.53,0.326,56016.519531
741032.89459991,3740622.35931396,261.60720825,0.54105,6.51,0.326,56016.519531
741032.72940063,3740621.7175293,261.60720825,0.44506,6.26,0.243,56016.519531
741032.70819855,3740621.66607666,261.60369873,0.43633,6.25,0.249,56016.519531
741033.020401,3740623.03607178,261.62200928,0.63705,6.81,0.293,56016.53125
741032.99399948,3740622.97930908,261.61679077,0.62832,6.79,0.298,56016.53125
741032.98120117,3740622.90911865,261.61898804,0.61959,6.75,0.298,56016.53125
741032.96260071,3740622.84558105,261.61801147,0.61087,6.72,0.304,56016.53125
741032.93799973,3740622.78881836,261.61358643,0.60214,6.7,0.309,56016.53125
741032.92070007,3740622.72540283,261.6131897,0.59341,6.67,0.315,56016.53125
741032.90409851,3740622.66210938,261.61300659,0.58469,6.64,0.315,56016.53125
741032.88809967,3740622.59881592,261.61309814,0.57596,6.61,0.315,56016.53125
741032.87279892,3740622.53570557,261.61349487,0.56723,6.58,0.32,56016.53125
741032.85820007,3740622.47259521,261.61410522,0.55851,6.55,0.326,56016.53125
741032.83029938,3740622.421875,261.60760498,0.54978,6.54,0.309,56016.53125
741032.71350098,3740622.01171875,261.6026001,0.48869,6.38,0.32,56016.535156
741032.65840149,3740621.7789917,261.60470581,0.45379,6.29,0.254,56016.535156
741032.64410019,3740621.72229004,261.60479736,0.44506,6.27,0.254,56016.535156
741033.01679993,3740623.30401611,261.62600708,0.67195,6.95,0.287,56016.546875
741033.00019836,3740623.23327637,261.62670898,0.66323,6.91,0.293,56016.546875
741032.97819901,3740623.1696167,261.62420654,0.6545,6.88,0.298,56016.546875
741032.96319962,3740623.09918213,261.62548828,0.64577,6.84,0.287,56016.546875
741032.93619919,3740623.04241943,261.61999512,0.63705,6.82,0.293,56016.546875
741032.92259979,3740622.97210693,261.62200928,0.62832,6.78,0.298,56016.546875
741032.89690018,3740622.9152832,261.61700439,0.61959,6.76,0.298,56016.546875
741032.87820053,3740622.85180664,261.61599731,0.61087,6.73,0.309,56016.546875
741032.86019897,3740622.78839111,261.61520386,0.60214,6.7,0.309,56016.546875
741032.84289932,3740622.72497559,261.61468506,0.59341,6.67,0.315,56016.546875
741032.82630157,3740622.66168213,261.61459351,0.58469,6.64,0.315,56016.546875
741032.81029892,3740622.59838867,261.61468506,0.57596,6.61,0.315,56016.546875
741032.79499817,3740622.53521729,261.61499023,0.56723,6.58,0.315,56016.546875
741032.6631012,3740622.13079834,261.60269165,0.50615,6.43,0.32,56016.546875
741032.63570023,3740622.01123047,261.60409546,0.48869,6.38,0.32,56016.546875
741032.61920166,3740621.95440674,261.603302,0.47997,6.36,0.32,56016.546875
741032.60329819,3740621.89758301,261.60269165,0.47124,6.34,0.32,56016.546875
741032.58789825,3740621.84069824,261.60238647,0.46251,6.32,0.315,56016.546875
741032.58810043,3740621.77319336,261.60998535,0.45379,6.28,0.254,56016.546875
741032.55879974,3740621.72717285,261.60238647,0.44506,6.28,0.26,56016.546875
741032.54510117,3740621.67047119,261.60269165,0.43633,6.26,0.276,56016.546875
741032.53950119,3740621.60858154,261.60720825,0.42761,6.23,0.304,56016.546875
741033.01860046,3740623.58007813,261.63150024,0.70686,7.1,0.265,56016.558594
741032.99890137,3740623.50909424,261.63079834,0.69813,7.06,0.26,56016.558594
741032.98009872,3740623.43811035,261.63049316,0.68941,7.02,0.271,56016.558594
741032.9620018,3740623.36730957,261.63049316,0.68068,6.98,0.276,56016.558594
741032.93849945,3740623.30358887,261.62728882,0.67195,6.95,0.287,56016.558594
741032.91579819,3740623.2399292,261.62451172,0.66323,6.92,0.293,56016.558594
741032.89989853,3740623.16931152,261.62539673,0.6545,6.88,0.298,56016.558594
741032.87860107,3740623.10571289,261.62319946,0.64577,6.85,0.298,56016.558594
741032.85789871,3740623.04211426,261.62130737,0.63705,6.82,0.298,56016.558594
741032.83789825,3740622.97851563,261.61959839,0.62832,6.79,0.298,56016.558594
741032.8185997,3740622.91491699,261.61828613,0.61959,6.76,0.298,56016.558594
741032.79339981,3740622.85809326,261.61358643,0.61087,6.74,0.309,56016.558594
741032.7820015,3740622.7880249,261.61639404,0.60214,6.7,0.309,56016.558594
741032.75799942,3740622.7310791,261.61230469,0.59341,6.68,0.315,56016.558594
741032.74129868,3740622.66772461,261.61209106,0.58469,6.65,0.315,56016.558594
741032.73880005,3740622.5916748,261.61950684,0.57596,6.6,0.304,56016.558594
741032.61460114,3740622.25018311,261.60339355,0.5236,6.48,0.315,56016.558594
741032.60300064,3740622.18731689,261.60540771,0.51487,6.45,0.326,56016.558594
741032.58480072,3740622.13037109,261.60379028,0.50615,6.43,0.326,56016.558594
741032.56719971,3740622.07348633,261.60250854,0.49742,6.41,0.32,56016.558594
741032.55739975,3740622.01092529,261.60519409,0.48869,6.38,0.32,56016.558594
741032.54100037,3740621.95397949,261.60440063,0.47997,6.36,0.32,56016.558594
741032.48059845,3740621.72680664,261.60339355,0.44506,6.28,0.26,56016.5625
741032.48199844,3740621.65960693,261.61160278,0.43633,6.24,0.249,56016.5625
741033.0163002,3740623.87939453,261.63220215,0.74176,7.28,0.249,56016.570313
741032.98180008,3740623.82299805,261.62341309,0.73304,7.26,0.254,56016.570313
741032.97679901,3740623.72930908,261.63171387,0.72431,7.19,0.254,56016.570313
741032.96709824,3740623.64331055,261.63699341,0.71558,7.13,0.26,56016.570313
741032.93479919,3740623.58691406,261.62921143,0.70686,7.11,0.26,56016.570313
741032.92100143,3740623.50848389,261.63189697,0.69813,7.06,0.271,56016.570313
741032.89609909,3740623.44470215,261.62811279,0.68941,7.03,0.276,56016.570313
741032.87789917,3740623.3737793,261.62799072,0.68068,6.99,0.271,56016.570313
741032.86059952,3740623.30297852,261.6282959,0.67195,6.95,0.282,56016.570313
741032.83160019,3740623.24627686,261.62200928,0.66323,6.93,0.282,56016.570313
741032.81570053,3740623.17559814,261.62289429,0.6545,6.89,0.298,56016.570313
741032.80070114,3740623.10510254,261.62420654,0.64577,6.85,0.298,56016.574219
741032.77999878,3740623.04150391,261.62219238,0.63705,6.82,0.298,56016.574219
741032.75360107,3740622.98468018,261.61700439,0.62832,6.8,0.298,56016.574219
741032.74069977,3740622.91442871,261.61920166,0.61959,6.76,0.304,56016.574219
741032.71549988,3740622.85748291,261.61459351,0.61087,6.74,0.304,56016.574219
741032.69739914,3740622.79400635,261.61380005,0.60214,6.71,0.309,56016.574219
741032.67340088,3740622.73699951,261.60958862,0.59341,6.69,0.309,56016.574219
741032.55599976,3740622.30657959,261.60641479,0.53233,6.5,0.315,56016.574219
741032.5367012,3740622.24957275,261.60430908,0.5236,6.48,0.326,56016.574219
741032.51789856,3740622.19262695,261.60250854,0.51487,6.46,0.32,56016.574219
741032.47219849,3740622.01593018,261.60229492,0.48869,6.39,0.32,56016.574219
741033.02310181,3740624.29870605,261.62368774,0.7854,7.56,0.238,56016.585938
741033.00630188,3740624.21130371,261.62609863,0.77667,7.5,0.238,56016.585938
741032.9905014,3740624.12408447,261.62890625,0.76794,7.44,0.238,56016.585938
741032.97029877,3740624.04467773,261.6288147,0.75922,7.39,0.243,56016.585938
741032.95100021,3740623.96551514,261.62921143,0.75049,7.34,0.238,56016.585938
741032.92129898,3740623.90148926,261.62329102,0.74176,7.31,0.254,56016.585938
741032.90380096,3740623.82250977,261.62438965,0.73304,7.26,0.26,56016.585938
741032.8871994,3740623.74359131,261.62600708,0.72431,7.21,0.254,56016.585938
741032.87749863,3740623.6574707,261.63119507,0.71558,7.15,0.26,56016.585938
741032.85100174,3740623.59362793,261.62680054,0.70686,7.12,0.265,56016.585938
741032.83119965,3740623.52252197,261.62600708,0.69813,7.08,0.265,56016.585938
741032.80609894,3740623.45861816,261.62219238,0.68941,7.05,0.265,56016.585938
741032.79389954,3740623.38037109,261.62548828,0.68068,7.0,0.271,56016.585938
741032.7765007,3740623.30957031,261.62579346,0.67195,6.96,0.276,56016.585938
741032.74750137,3740623.25280762,261.61938477,0.66323,6.94,0.287,56016.585938
741032.73160172,3740623.18212891,261.62039185,0.6545,6.9,0.287,56016.585938
741032.71649933,3740623.11151123,261.62161255,0.64577,6.86,0.298,56016.585938
741032.6957016,3740623.04779053,261.61959839,0.63705,6.83,0.298,56016.585938
741032.6692009,3740622.99090576,261.6144104,0.62832,6.81,0.293,56016.585938
741032.65629959,3740622.92059326,261.61660767,0.61959,6.77,0.304,56016.585938
741032.63759995,3740622.85699463,261.61550903,0.61087,6.74,0.298,56016.585938
741032.62620163,3740622.78692627,261.61828613,0.60214,6.7,0.265,56016.585938
741032.50460052,3740622.43231201,261.60470581,0.54978,6.56,0.298,56016.585938
741032.47109985,3740622.31219482,261.60348511,0.53233,6.51,0.32,56016.585938
741032.94490051,3740624.29852295,261.62490845,0.7854,7.56,0.238,56016.597656
741032.9333992,3740624.20330811,261.63040161,0.77667,7.49,0.238,56016.597656
741032.91770172,3740624.11608887,261.63320923,0.76794,7.43,0.238,56016.597656
741032.89199829,3740624.04449463,261.62991333,0.75922,7.39,0.243,56016.597656
741032.87269974,3740623.965271,261.63031006,0.75049,7.34,0.238,56016.597656
741032.86009979,3740623.87860107,261.63430786,0.74176,7.28,0.249,56016.597656
741032.82550049,3740623.82220459,261.62548828,0.73304,7.26,0.249,56016.597656
741032.80899811,3740623.74328613,261.62701416,0.72431,7.21,0.254,56016.597656
741032.79330063,3740623.66461182,261.62890625,0.71558,7.16,0.26,56016.597656
741032.77270126,3740623.59338379,261.62780762,0.70686,7.12,0.26,56016.597656
741032.75289917,3740623.5222168,261.62710571,0.69813,7.08,0.265,56016.597656
741032.72779846,3740623.45831299,261.62319946,0.68941,7.05,0.265,56016.597656
741032.71559906,3740623.38018799,261.62658691,0.68068,7.0,0.271,56016.597656
741032.69820023,3740623.30932617,261.62680054,0.67195,6.96,0.276,56016.597656
741032.6692009,3740623.25262451,261.62051392,0.66323,6.94,0.282,56016.597656
