X,Y,Z,Angle,Distance,Retro,UTC
741001.46340001,3740622.04547119,261.84991455,0.49742,6.66,0.276,56021.5625
741001.45940006,3740621.97528076,261.85430908,0.48869,6.62,0.276,56021.5625
741001.44889998,3740621.91107178,261.85519409,0.47997,6.59,0.282,56021.5625
741001.43900001,3740621.84698486,261.85641479,0.47124,6.56,0.276,56021.5625
741001.41499996,3740621.79431152,261.85040283,0.46251,6.55,0.304,56021.5625
741001.42130005,3740621.71942139,261.85971069,0.45379,6.5,0.243,56021.5625
741001.41330004,3740621.65582275,261.86169434,0.44506,6.47,0.232,56021.5625
741001.40610003,3740621.59240723,261.86401367,0.43633,6.44,0.232,56021.5625
741001.45099998,3740622.44018555,261.84991455,0.54978,6.85,0.265,56021.574219
741001.44270003,3740622.36889648,261.85238647,0.54105,6.81,0.26,56021.574219
741001.42110002,3740622.31011963,261.84790039,0.53233,6.79,0.265,56021.574219
741001.41419995,3740622.23907471,261.85101318,0.5236,6.75,0.276,56021.574219
741001.40100002,3740622.17431641,261.85079956,0.51487,6.72,0.276,56021.574219
741001.38849998,3740622.10968018,261.85089111,0.50615,6.69,0.287,56021.574219
741001.36940002,3740622.05102539,261.84750366,0.49742,6.67,0.287,56021.574219
741001.36539996,3740621.98077393,261.85189819,0.48869,6.63,0.287,56021.574219
741001.34749997,3740621.92218018,261.84899902,0.47997,6.61,0.293,56021.574219
741001.34490001,3740621.85241699,261.85400391,0.47124,6.57,0.298,56021.574219
741001.32089996,3740621.79962158,261.84790039,0.46251,6.56,0.304,56021.574219
741001.31959999,3740621.73010254,261.85339355,0.45379,6.52,0.238,56021.574219
741001.31910002,3740621.66088867,261.85919189,0.44506,6.48,0.232,56021.574219
741001.2967,3740621.60821533,261.85391235,0.43633,6.47,0.243,56021.574219
741001.45169997,3740622.93792725,261.84658813,0.61087,7.12,0.265,56021.585938
741001.43789995,3740622.86529541,261.84671021,0.60214,7.08,0.265,56021.585938
741001.42490005,3740622.79302979,261.84729004,0.59341,7.04,0.26,56021.585938
741001.41270006,3740622.72070313,261.84811401,0.58469,7.0,0.26,56021.585938
741001.40129995,3740622.64868164,261.8493042,0.57596,6.96,0.26,56021.585938
741001.38390005,3740622.58331299,261.84719849,0.56723,6.93,0.254,56021.585938
741001.36720002,3740622.5178833,261.8454895,0.55851,6.9,0.265,56021.589844
741001.35800004,3740622.44628906,261.84759521,0.54978,6.86,0.265,56021.589844
741001.34969997,3740622.37487793,261.85009766,0.54105,6.82,0.265,56021.589844
741001.33510005,3740622.30987549,261.8493042,0.53233,6.79,0.282,56021.589844
741001.31410003,3740622.25109863,261.84509277,0.5236,6.77,0.293,56021.589844
741001.31500006,3740622.17419434,261.85220337,0.51487,6.72,0.293,56021.589844
741001.29530001,3740622.11547852,261.84851074,0.50615,6.7,0.298,56021.589844
741001.27620006,3740622.05670166,261.84509277,0.49742,6.68,0.298,56021.589844
741001.27209997,3740621.98638916,261.84939575,0.48869,6.64,0.298,56021.589844
741001.26880002,3740621.9163208,261.85409546,0.47997,6.6,0.298,56021.589844
741001.25150001,3740621.85791016,261.85150146,0.47124,6.58,0.304,56021.589844
