X,Y,Z,Angle,Distance,Retro,UTC
741037.45460129,3740621.68988037,261.52780151,0.42761,6.24,0.304,56015.695313
741037.42620087,3740621.64367676,261.52090454,0.41888,6.24,0.331,56015.695313
741037.39810181,3740621.59729004,261.51409912,0.41015,6.24,0.343,56015.695313
741037.45149994,3740621.90368652,261.53491211,0.46251,6.3,0.315,56015.707031
741037.43619919,3740621.847229,261.53500366,0.45379,6.28,0.298,56015.707031
741037.42150116,3740621.79071045,261.53530884,0.44506,6.26,0.282,56015.707031
741037.39970016,3740621.73962402,261.53189087,0.43633,6.25,0.271,56015.707031
741037.38600159,3740621.68310547,261.53259277,0.42761,6.23,0.26,56015.707031
741037.34999847,3740621.64221191,261.52178955,0.41888,6.24,0.348,56015.707031
741037.45220184,3740622.19091797,261.53540039,0.50615,6.41,0.32,56015.71875
741037.44129944,3740622.128479,261.53808594,0.49742,6.38,0.32,56015.71875
741037.42380142,3740622.07189941,261.53720093,0.48869,6.36,0.326,56015.71875
741037.4068985,3740622.01531982,261.53659058,0.47997,6.34,0.326,56015.71875
741037.39049911,3740621.95880127,261.53610229,0.47124,6.32,0.32,56015.71875
741037.38209915,3740621.89672852,261.53979492,0.46251,6.29,0.32,56015.71875
741037.28850174,3740621.63037109,261.53070068,0.41888,6.22,0.337,56015.71875
741037.41360092,3740622.30267334,261.53939819,0.5236,6.45,0.309,56015.734375
741037.36500168,3740622.12701416,261.53909302,0.49742,6.38,0.32,56015.734375
741037.34749985,3740622.07049561,261.53820801,0.48869,6.36,0.32,56015.734375
741037.33060074,3740622.01391602,261.5375061,0.47997,6.34,0.326,56015.734375
741037.24060059,3740621.67498779,261.53860474,0.42761,6.22,0.265,56015.734375
741037.21229935,3740621.62890625,261.53170776,0.41888,6.22,0.32,56015.734375
741037.31809998,3740622.24450684,261.53839111,0.51487,6.43,0.315,56015.746094
741037.28860092,3740622.12542725,261.53970337,0.49742,6.38,0.32,56015.746094
741037.27119827,3740622.06890869,261.53878784,0.48869,6.36,0.32,56015.746094
741037.19219971,3740621.78619385,261.53799438,0.44506,6.26,0.265,56015.746094
741037.1208992,3740621.63757324,261.52450562,0.41888,6.24,0.343,56015.746094
741037.24129868,3740622.24310303,261.53890991,0.51487,6.43,0.315,56015.761719
741037.13029861,3740621.84130859,261.53820801,0.45379,6.28,0.287,56015.761719
741037.04430008,3740621.6361084,261.52508545,0.41888,6.24,0.309,56015.761719
741037.16490173,3740622.24157715,261.53961182,0.51487,6.43,0.309,56015.773438
741037.11819839,3740622.06591797,261.5401001,0.48869,6.36,0.315,56015.773438
741037.06949997,3740622.18341064,261.53900146,0.50615,6.41,0.315,56015.785156
741037.33129883,3740624.28271484,261.5401001,0.77667,7.52,0.309,56015.835938
