X,Y,Z,Angle,Distance,Retro,UTC
741030.01230049,3740621.6072998,261.61990356,0.42761,6.25,0.348,56016.972656
741030.01189995,3740621.88549805,261.6242981,0.47124,6.34,0.293,56016.988281
741029.9890995,3740621.83410645,261.61999512,0.46251,6.33,0.282,56016.988281
741030.00419998,3740621.75567627,261.63540649,0.45379,6.27,0.215,56016.988281
741029.97500038,3740621.70977783,261.62768555,0.44506,6.27,0.221,56016.988281
741029.98399925,3740621.63739014,261.63980103,0.43633,6.22,0.215,56016.988281
741030.01840019,3740622.16967773,261.63049316,0.51487,6.44,0.309,56017.0
741029.99309921,3740622.11859131,261.62509155,0.50615,6.43,0.309,56017.0
741029.97550011,3740622.06170654,261.62368774,0.49742,6.41,0.309,56017.0
741029.96570015,3740621.99908447,261.62649536,0.48869,6.38,0.309,56017.0
741029.94930077,3740621.94219971,261.62561035,0.47997,6.36,0.309,56017.0
741029.93330002,3740621.88537598,261.625,0.47124,6.34,0.304,56017.0
741029.91049957,3740621.83398438,261.62069702,0.46251,6.33,0.282,56017.0
741029.91810036,3740621.76098633,261.63220215,0.45379,6.28,0.221,56017.0
741029.91139984,3740621.69909668,261.63619995,0.44506,6.25,0.221,56017.0
741029.89780045,3740621.64257813,261.63659668,0.43633,6.23,0.221,56017.0
741029.84670067,3740621.61199951,261.61761475,0.42761,6.26,0.304,56017.0
741030.01709938,3740622.47192383,261.63150024,0.55851,6.57,0.298,56017.011719
741030.00300026,3740622.40881348,261.63238525,0.54978,6.54,0.304,56017.011719
741029.98259926,3740622.35192871,261.62979126,0.54105,6.52,0.304,56017.011719
741029.96269989,3740622.29492188,261.62750244,0.53233,6.5,0.309,56017.011719
741029.95759964,3740622.22601318,261.63290405,0.5236,6.46,0.304,56017.011719
741029.93180084,3740622.17498779,261.62728882,0.51487,6.45,0.309,56017.011719
741029.91360092,3740622.11810303,261.6257019,0.50615,6.43,0.304,56017.015625
741029.90320015,3740622.05541992,261.62820435,0.49742,6.4,0.309,56017.015625
741029.88619995,3740621.99847412,261.62710571,0.48869,6.38,0.309,56017.015625
741029.87709999,3740621.93609619,261.63009644,0.47997,6.35,0.304,56017.015625
741029.85379982,3740621.88482666,261.62561035,0.47124,6.34,0.304,56017.015625
741029.83099937,3740621.83349609,261.62130737,0.46251,6.33,0.276,56017.015625
741029.83849907,3740621.76049805,261.63290405,0.45379,6.28,0.221,56017.015625
741029.82430077,3740621.70391846,261.63299561,0.44506,6.26,0.221,56017.015625
741029.82579994,3740621.63677979,261.64111328,0.43633,6.22,0.215,56017.015625
741029.77470016,3740621.60620117,261.62210083,0.42761,6.25,0.326,56017.015625
741030.00790024,3740622.71832275,261.63510132,0.59341,6.68,0.282,56017.027344
741029.99119949,3740622.65490723,261.6348877,0.58469,6.65,0.293,56017.027344
741029.97509956,3740622.59161377,261.6348877,0.57596,6.62,0.298,56017.027344
741029.95289993,3740622.534729,261.63150024,0.56723,6.6,0.298,56017.027344
741029.94510078,3740622.46520996,261.63580322,0.55851,6.56,0.298,56017.027344
741029.92410088,3740622.4083252,261.63299561,0.54978,6.54,0.298,56017.027344
741029.90360069,3740622.35137939,261.63040161,0.54105,6.52,0.309,56017.027344
741029.88380051,3740622.29437256,261.62811279,0.53233,6.5,0.309,56017.027344
741029.87150002,3740622.23150635,261.62969971,0.5236,6.47,0.304,56017.027344
741029.86000061,3740622.16870117,261.63171387,0.51487,6.44,0.309,56017.027344
741029.83469963,3740622.11761475,261.62631226,0.50615,6.43,0.304,56017.027344
741029.8314991,3740622.04919434,261.63259888,0.49742,6.39,0.304,56017.027344
741029.81459999,3740621.99237061,261.63150024,0.48869,6.37,0.304,56017.027344
741029.79080009,3740621.94122314,261.62680054,0.47997,6.36,0.304,56017.027344
741029.76749992,3740621.88989258,261.62231445,0.47124,6.35,0.309,56017.027344
741029.75209999,3740621.83300781,261.62188721,0.46251,6.33,0.276,56017.027344
741029.76709938,3740621.75457764,261.63729858,0.45379,6.27,0.227,56017.027344
